scope,run_id,timestamp_utc,host,gpu_model,device,rank,rank_count,dtype,M,N,K,collective,q,slice_bytes,backend,strategy,transport_hint,warmup,iteration_index,status,correctness,max_abs_error,max_rel_error,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,e2e_us,log_path,window
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B0_FULL_SERIAL,UNSPECIFIED,3,0,PASS,1,0,0,28.7040006369,28.7040006369,44.3519987166,48.2879988849,62.5279992819,66.7520016432,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B0_FULL_SERIAL,UNSPECIFIED,3,1,PASS,1,0,0,56.4480014145,56.4480014145,72.0959976315,75.9999975562,90.1760011911,94.1760018468,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B0_FULL_SERIAL,UNSPECIFIED,3,2,PASS,1,0,0,47.0080003142,47.0080003142,63.2639974356,67.1679973602,81.3760012388,85.2800011635,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B0_FULL_SERIAL,UNSPECIFIED,3,3,PASS,1,0,0,39.0719994903,39.0719994903,54.7839999199,58.6559996009,72.4800005555,76.4160007238,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B0_FULL_SERIAL,UNSPECIFIED,3,4,PASS,1,0,0,38.7200005352,38.7200005352,54.4000007212,58.4959983826,72.6400017738,76.5760019422,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B1_SLICE_SERIAL,UNSPECIFIED,3,0,PASS,1,0,0,32.8320004046,156.031996012,166.784003377,37.1840000153,178.7520051,182.656005025,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B1_SLICE_SERIAL,UNSPECIFIED,3,1,PASS,1,0,0,39.2000004649,158.528000116,170.016005635,43.4239991009,181.82399869,185.727998614,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B1_SLICE_SERIAL,UNSPECIFIED,3,2,PASS,1,0,0,37.0559990406,150.496006012,156.736001372,41.4399988949,171.327993274,175.264000893,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B1_SLICE_SERIAL,UNSPECIFIED,3,3,PASS,1,0,0,37.6639999449,158.943995833,167.743995786,41.8559983373,180.063992739,183.967992663,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B1_SLICE_SERIAL,UNSPECIFIED,3,4,PASS,1,0,0,37.1519997716,151.455998421,156.767994165,41.9519990683,172.416001558,176.320001483,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B2_SLICE_EVENT_OVERLAP,UNSPECIFIED,3,0,PASS,1,0,0,30.4000005126,146.592006087,153.632000089,34.8480008543,167.840003967,171.775996685,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B2_SLICE_EVENT_OVERLAP,UNSPECIFIED,3,1,PASS,1,0,0,36.4799983799,146.495997906,155.551999807,40.8000014722,167.87199676,171.808004379,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B2_SLICE_EVENT_OVERLAP,UNSPECIFIED,3,2,PASS,1,0,0,46.4319996536,162.463992834,166.46400094,50.6240017712,187.232002616,191.136002541,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B2_SLICE_EVENT_OVERLAP,UNSPECIFIED,3,3,PASS,1,0,0,38.0159988999,151.583999395,158.592000604,42.2400012612,172.895997763,176.799997687,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
global_max,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B2_SLICE_EVENT_OVERLAP,UNSPECIFIED,3,4,PASS,1,0,0,36.6079993546,141.568005085,152.735993266,40.9279987216,163.967996836,167.87199676,results/preflight2gpu_20260903T015051Z/rank{rank}.log,2
