scope,run_id,timestamp_utc,host,gpu_model,device,rank,rank_count,dtype,M,N,K,collective,q,slice_bytes,backend,strategy,transport_hint,warmup,iteration_index,status,correctness,max_abs_error,max_rel_error,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,e2e_us,log_path,window
rank,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B0_FULL_SERIAL,UNSPECIFIED,3,0,PASS,1,0,0,28.7040006369,28.7040006369,44.3519987166,48.2879988849,62.5279992819,66.7520016432,results/preflight2gpu_20260903T015051Z/rank0.log,2
rank,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B0_FULL_SERIAL,UNSPECIFIED,3,1,PASS,1,0,0,36.4799983799,36.4799983799,52.1279983222,56.0319982469,70.2719986439,74.2079988122,results/preflight2gpu_20260903T015051Z/rank0.log,2
rank,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B0_FULL_SERIAL,UNSPECIFIED,3,2,PASS,1,0,0,34.495998174,34.495998174,50.1759983599,54.0799982846,68.0000036955,71.8400031328,results/preflight2gpu_20260903T015051Z/rank0.log,2
rank,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B0_FULL_SERIAL,UNSPECIFIED,3,3,PASS,1,0,0,28.6079999059,28.6079999059,44.1600009799,48.0320006609,62.2720010579,66.1759972572,results/preflight2gpu_20260903T015051Z/rank0.log,2
rank,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B0_FULL_SERIAL,UNSPECIFIED,3,4,PASS,1,0,0,30.4959993809,30.4959993809,46.1760014296,50.0800013542,64.2879977822,68.4479996562,results/preflight2gpu_20260903T015051Z/rank0.log,2
rank,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B1_SLICE_SERIAL,UNSPECIFIED,3,0,PASS,1,0,0,32.8320004046,156.031996012,166.784003377,37.1840000153,178.7520051,182.656005025,results/preflight2gpu_20260903T015051Z/rank0.log,2
rank,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B1_SLICE_SERIAL,UNSPECIFIED,3,1,PASS,1,0,0,28.2559990883,147.615998983,151.519998908,32.4160009623,172.319993377,176.223993301,results/preflight2gpu_20260903T015051Z/rank0.log,2
rank,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B1_SLICE_SERIAL,UNSPECIFIED,3,2,PASS,1,0,0,27.7440007776,141.407996416,147.551998496,32.0959985256,163.200005889,167.104005814,results/preflight2gpu_20260903T015051Z/rank0.log,2
rank,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B1_SLICE_SERIAL,UNSPECIFIED,3,3,PASS,1,0,0,28.0000008643,147.743999958,151.61600709,32.1919992566,172.736003995,176.671996713,results/preflight2gpu_20260903T015051Z/rank0.log,2
rank,preflight2,2026-09-03T01:50:54Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,2,fp32,256,128,128,AllGather-GEMM,4,32768,NCCL,B1_SLICE_SERIAL,UNSPECIFIED,3,4,PASS,1,0,0,27.7120005339,141.248002648,146.911993623,32.0959985256,162.560001016,166.46400094,results/preflight2gpu_20260903T015051Z/rank0.log,2
