strategy,iteration,rank,q,slice,t_release_us
B0_FULL_SERIAL,0,0,8,0,844.44797039
B0_FULL_SERIAL,0,0,8,1,847.904026508
B0_FULL_SERIAL,0,0,8,2,851.328015327
B0_FULL_SERIAL,0,0,8,3,855.135977268
B0_FULL_SERIAL,0,0,8,4,858.623981476
B0_FULL_SERIAL,0,0,8,5,862.143993378
B0_FULL_SERIAL,0,0,8,6,865.66400528
B0_FULL_SERIAL,0,0,8,7,869.152009487
B0_FULL_SERIAL,1,0,8,0,849.568009377
B0_FULL_SERIAL,1,0,8,1,853.088021278
B0_FULL_SERIAL,1,0,8,2,856.895983219
B0_FULL_SERIAL,1,0,8,3,860.415995121
B0_FULL_SERIAL,1,0,8,4,863.936007023
B0_FULL_SERIAL,1,0,8,5,867.456018925
B0_FULL_SERIAL,1,0,8,6,870.975971222
B0_FULL_SERIAL,1,0,8,7,874.46397543
B0_FULL_SERIAL,2,0,8,0,854.112029076
B0_FULL_SERIAL,2,0,8,1,857.599973679
B0_FULL_SERIAL,2,0,8,2,861.11998558
B0_FULL_SERIAL,2,0,8,3,864.639997482
B0_FULL_SERIAL,2,0,8,4,868.12800169
B0_FULL_SERIAL,2,0,8,5,871.648013592
B0_FULL_SERIAL,2,0,8,6,875.199973583
B0_FULL_SERIAL,2,0,8,7,878.751993179
B0_FULL_SERIAL,3,0,8,0,888.575971127
B0_FULL_SERIAL,3,0,8,1,892.095983028
B0_FULL_SERIAL,3,0,8,2,895.61599493
B0_FULL_SERIAL,3,0,8,3,899.136006832
B0_FULL_SERIAL,3,0,8,4,902.656018734
B0_FULL_SERIAL,3,0,8,5,906.400024891
B0_FULL_SERIAL,3,0,8,6,909.919977188
B0_FULL_SERIAL,3,0,8,7,913.407981396
B0_FULL_SERIAL,4,0,8,0,840.735971928
B0_FULL_SERIAL,4,0,8,1,844.255983829
B0_FULL_SERIAL,4,0,8,2,847.775995731
B0_FULL_SERIAL,4,0,8,3,851.296007633
B0_FULL_SERIAL,4,0,8,4,854.816019535
B0_FULL_SERIAL,4,0,8,5,858.335971832
B0_FULL_SERIAL,4,0,8,6,861.855983734
B0_FULL_SERIAL,4,0,8,7,865.343987942
B0_FULL_SERIAL,5,0,8,0,901.664018631
B0_FULL_SERIAL,5,0,8,1,905.600011349
B0_FULL_SERIAL,5,0,8,2,909.503996372
B0_FULL_SERIAL,5,0,8,3,913.407981396
B0_FULL_SERIAL,5,0,8,4,917.312026024
B0_FULL_SERIAL,5,0,8,5,921.216011047
B0_FULL_SERIAL,5,0,8,6,925.152003765
B0_FULL_SERIAL,5,0,8,7,929.055988789
B0_FULL_SERIAL,6,0,8,0,931.519985199
B0_FULL_SERIAL,6,0,8,1,935.423970222
B0_FULL_SERIAL,6,0,8,2,939.296007156
B0_FULL_SERIAL,6,0,8,3,943.231999874
B0_FULL_SERIAL,6,0,8,4,947.135984898
B0_FULL_SERIAL,6,0,8,5,951.040029526
B0_FULL_SERIAL,6,0,8,6,954.944014549
B0_FULL_SERIAL,6,0,8,7,958.880007267
B0_FULL_SERIAL,7,0,8,0,934.560000896
B0_FULL_SERIAL,7,0,8,1,938.368022442
B0_FULL_SERIAL,7,0,8,2,942.207992077
B0_FULL_SERIAL,7,0,8,3,946.143984795
B0_FULL_SERIAL,7,0,8,4,950.016021729
B0_FULL_SERIAL,7,0,8,5,953.952014446
B0_FULL_SERIAL,7,0,8,6,957.888007164
B0_FULL_SERIAL,7,0,8,7,961.791992188
B0_FULL_SERIAL,8,0,8,0,947.456002235
B0_FULL_SERIAL,8,0,8,1,951.391994953
B0_FULL_SERIAL,8,0,8,2,955.295979977
B0_FULL_SERIAL,8,0,8,3,959.231972694
B0_FULL_SERIAL,8,0,8,4,963.136017323
B0_FULL_SERIAL,8,0,8,5,967.07201004
B0_FULL_SERIAL,8,0,8,6,970.975995064
B0_FULL_SERIAL,8,0,8,7,974.911987782
B0_FULL_SERIAL,9,0,8,0,899.839997292
B0_FULL_SERIAL,9,0,8,1,903.680026531
B0_FULL_SERIAL,9,0,8,2,907.55200386
B0_FULL_SERIAL,9,0,8,3,911.487996578
B0_FULL_SERIAL,9,0,8,4,915.423989296
B0_FULL_SERIAL,9,0,8,5,919.29602623
B0_FULL_SERIAL,9,0,8,6,923.200011253
B0_FULL_SERIAL,9,0,8,7,927.136003971
B0_FULL_SERIAL,10,0,8,0,881.088018417
B0_FULL_SERIAL,10,0,8,1,884.992003441
B0_FULL_SERIAL,10,0,8,2,888.895988464
B0_FULL_SERIAL,10,0,8,3,892.831981182
B0_FULL_SERIAL,10,0,8,4,896.73602581
B0_FULL_SERIAL,10,0,8,5,900.672018528
B0_FULL_SERIAL,10,0,8,6,904.576003551
B0_FULL_SERIAL,10,0,8,7,908.511996269
B0_FULL_SERIAL,11,0,8,0,925.408005714
B0_FULL_SERIAL,11,0,8,1,929.311990738
B0_FULL_SERIAL,11,0,8,2,933.247983456
B0_FULL_SERIAL,11,0,8,3,937.183976173
B0_FULL_SERIAL,11,0,8,4,941.088020802
B0_FULL_SERIAL,11,0,8,5,945.024013519
B0_FULL_SERIAL,11,0,8,6,948.960006237
B0_FULL_SERIAL,11,0,8,7,952.863991261
B0_FULL_SERIAL,12,0,8,0,896.99202776
B0_FULL_SERIAL,12,0,8,1,900.896012783
B0_FULL_SERIAL,12,0,8,2,904.799997807
B0_FULL_SERIAL,12,0,8,3,908.735990524
B0_FULL_SERIAL,12,0,8,4,912.639975548
B0_FULL_SERIAL,12,0,8,5,916.544020176
B0_FULL_SERIAL,12,0,8,6,920.448005199
B0_FULL_SERIAL,12,0,8,7,924.383997917
B0_FULL_SERIAL,13,0,8,0,884.032011032
B0_FULL_SERIAL,13,0,8,1,887.96800375
B0_FULL_SERIAL,13,0,8,2,891.871988773
B0_FULL_SERIAL,13,0,8,3,895.807981491
B0_FULL_SERIAL,13,0,8,4,899.712026119
B0_FULL_SERIAL,13,0,8,5,903.648018837
B0_FULL_SERIAL,13,0,8,6,907.55200386
B0_FULL_SERIAL,13,0,8,7,911.455988884
B0_FULL_SERIAL,14,0,8,0,929.055988789
B0_FULL_SERIAL,14,0,8,1,932.959973812
B0_FULL_SERIAL,14,0,8,2,936.86401844
B0_FULL_SERIAL,14,0,8,3,940.768003464
B0_FULL_SERIAL,14,0,8,4,944.703996181
B0_FULL_SERIAL,14,0,8,5,948.607981205
