run_id,stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,exit_code,case_dir,timestamp_utc
stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep1,A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep1,2026-09-03T01:51:08Z
stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep2,A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep2,2026-09-03T01:51:20Z
stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep3,A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep3,2026-09-03T01:51:31Z
stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep4,A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep4,2026-09-03T01:51:43Z
stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep5,A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep5,2026-09-03T01:51:55Z
stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep1,A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep1,2026-09-03T01:52:06Z
stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2,A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2,2026-09-03T01:52:18Z
stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3,A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3,2026-09-03T01:52:30Z
stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep4,A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep4,2026-09-03T01:52:42Z
stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep5,A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep5,2026-09-03T01:52:53Z
stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep1,A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep1,2026-09-03T01:53:05Z
