scope,run_id,timestamp_utc,host,gpu_model,device,rank,rank_count,dtype,M,N,K,collective,q,slice_bytes,backend,strategy,transport_hint,warmup,iteration_index,status,correctness,max_abs_error,max_rel_error,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,e2e_us,log_path,window
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:22Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,0,PASS,1,0,0,257.311999798,257.311999798,271.391987801,274.944007397,7532.76777267,7536.3202095,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:22Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,1,PASS,1,0,0,286.816000938,286.816000938,300.895988941,304.416000843,7568.03178787,7571.93613052,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:22Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,2,PASS,1,0,0,340.864002705,340.864002705,355.168014765,358.687996864,7619.55213547,7623.00777435,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:22Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,3,PASS,1,0,0,332.704007626,332.704007626,347.167998552,350.623995066,7609.3120575,7612.8320694,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:22Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,4,PASS,1,0,0,431.679993868,431.679993868,445.728003979,449.344009161,7710.43205261,7713.9840126,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:22Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,5,PASS,1,0,0,429.087996483,429.087996483,443.231999874,446.752011776,7705.50394058,7709.02395248,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:22Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,6,PASS,1,0,0,280.896008015,280.896008015,294.752001762,298.272013664,7558.36820602,7562.27207184,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:22Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,7,PASS,1,0,0,277.343988419,277.343988419,291.711986065,295.231997967,7556.79988861,7560.3518486,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:22Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,8,PASS,1,0,0,272.767990828,272.767990828,286.848008633,290.399998426,7549.98397827,7553.44009399,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:23Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,9,PASS,1,0,0,309.184014797,309.184014797,323.455989361,326.976001263,7586.40003204,7589.92004395,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:23Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,10,PASS,1,0,0,339.327991009,339.327991009,353.439986706,356.959998608,7615.42415619,7619.00806427,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:23Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,11,PASS,1,0,0,412.607997656,412.607997656,427.040010691,430.55999279,7692.19207764,7695.71208954,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:23Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,12,PASS,1,0,0,285.439997911,285.439997911,299.807995558,303.32800746,7561.08808517,7564.60809708,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:23Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,13,PASS,1,0,0,282.079994678,282.079994678,296.095997095,299.616008997,7557.69586563,7561.18392944,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
rank,stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3,2026-09-03T02:30:23Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,1024,8192,8192,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,DEFAULT,20,14,PASS,1,0,0,305.88799715,305.88799715,320.032000542,323.552012444,7584.70392227,7588.19198608,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S3_m256k8192n8192_q4w0_rep3/rank1.log,0
