scope,run_id,timestamp_utc,host,gpu_model,device,rank,rank_count,dtype,M,N,K,collective,q,slice_bytes,backend,strategy,transport_hint,warmup,iteration_index,status,correctness,max_abs_error,max_rel_error,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,e2e_us,log_path,window
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,0,PASS,1,0,0,234.751999378,234.751999378,248.99199605,252.512007952,3932.19208717,3935.74404716,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,1,PASS,1,0,0,287.135988474,287.135988474,301.600009203,305.119991302,3974.91192818,3978.39999199,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,2,PASS,1,0,0,343.775987625,343.775987625,358.20800066,361.759990454,4031.48794174,4035.00795364,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,3,PASS,1,0,0,326.496005058,326.496005058,340.671986341,344.191998243,4022.2401619,4025.7601738,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,4,PASS,1,0,0,364.064007998,364.064007998,378.143996,381.664007902,4057.472229,4060.99176407,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,5,PASS,1,0,0,275.424003601,275.424003601,289.503991604,293.024003506,3973.98400307,3977.50401497,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,6,PASS,1,0,0,267.392009497,267.392009497,281.471997499,284.895986319,3955.87205887,3959.39207077,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,7,PASS,1,0,0,289.279997349,289.279997349,303.32800746,306.847989559,3985.56804657,3989.15195465,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,8,PASS,1,0,0,343.232005835,343.232005835,357.376009226,360.895991325,4040.8000946,4044.32010651,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,9,PASS,1,0,0,393.056005239,393.056005239,407.135993242,410.656005144,4083.45603943,4087.00799942,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,10,PASS,1,0,0,430.047988892,430.047988892,444.128006697,447.647988796,4118.55983734,4122.4322319,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,11,PASS,1,0,0,411.648005247,411.648005247,425.855994225,429.376006126,4100.54397583,4104.09593582,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,12,PASS,1,0,0,280.351996422,280.351996422,294.432014227,297.951996326,3970.46399117,3973.95205498,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,13,PASS,1,0,0,270.336002111,270.336002111,284.447997808,287.96800971,3960.63995361,3964.15996552,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,14,PASS,1,0,0,286.75198555,286.75198555,300.992012024,304.544001818,3977.31208801,3980.83209991,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
rank,stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2,2026-09-03T03:43:41Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,3,3,4,fp32,2048,4096,4096,AllGather-GEMM,4,8388608,NCCL,B0_FULL_SERIAL,RS_ch4,20,15,PASS,1,0,0,312.319993973,312.319993973,326.463997364,329.984009266,4000.63991547,4004.15992737,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_B_RS_ch4_S4_m512k4096n4096_q4w0_rep2/rank3.log,0
