stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,strategy,status,correctness,M_global,slice_bytes,release_first_mean_us,release_last_mean_us,done_mean_us,gemm_first_mean_us,gemm_last_mean_us,e2e_mean_us,e2e_p50_us,e2e_p95_us,run_id
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,1,B0_FULL_SERIAL,PASS,1,16384,33554432,837.811838388,837.811838388,841.767681241,845.70943892,1435.25312185,1439.19296265,1436.70403957,1613.91997337,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,1,B1_SLICE_SERIAL,PASS,1,16384,33554432,958.91456604,958.91456604,962.89855957,966.835201383,1622.96511531,1626.90367103,1570.88005543,2478.55997086,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,33554432,868.584322333,868.584322333,872.552317977,876.483204365,1532.63551593,1536.59007668,1552.28805542,1684.44800377,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,2,B0_FULL_SERIAL,PASS,1,16384,33554432,798.007676601,798.007676601,801.97568059,805.930239558,1395.60448289,1399.56223488,1301.24795437,1671.51999474,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,2,B1_SLICE_SERIAL,PASS,1,16384,33554432,727.73247838,727.73247838,731.690238714,735.634561181,1392.60415673,1396.57920003,1359.87198353,1678.91204357,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,33554432,786.384005547,786.384005547,790.357760787,794.295040369,1451.25823379,1455.21663308,1367.87199974,1814.30399418,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,3,B0_FULL_SERIAL,PASS,1,16384,33554432,804.55167532,804.55167532,808.490236998,812.426236272,1402.01343775,1405.95839381,1579.29599285,1712.03196049,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,3,B1_SLICE_SERIAL,PASS,1,16384,33554432,527.107839584,527.107839584,531.095038056,535.036157966,1192.0140934,1195.97696304,1150.72000027,1329.63204384,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,33554432,530.227202773,530.227202773,534.193920493,538.134399056,1195.01631856,1198.98623824,1132.28797913,1631.48796558,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,4,B0_FULL_SERIAL,PASS,1,16384,33554432,957.167354226,957.167354226,961.117440462,965.054724216,1554.58751798,1558.54016066,1583.42397213,2259.64808464,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,4,B1_SLICE_SERIAL,PASS,1,16384,33554432,977.791353464,977.791353464,981.748470664,985.696002841,1642.60992289,1646.57408118,1659.29603577,2016.6079998,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,4,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,33554432,935.314555764,935.314555764,939.271683693,943.205759525,1600.11135221,1604.0595305,1646.43204212,2451.48801804,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,5,B0_FULL_SERIAL,PASS,1,16384,33554432,940.184964538,940.184964538,944.160638452,948.092158437,1537.75360346,1541.67807698,1581.50398731,1909.47198868,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,5,B1_SLICE_SERIAL,PASS,1,16384,33554432,756.7359972,756.7359972,760.703362226,764.645120502,1421.60256028,1425.54687619,1361.31203175,1734.33601856,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,5,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,33554432,472.835840583,472.835840583,476.784641743,480.721279383,1137.89119244,1141.83936,1123.20005894,1305.79197407,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,1,B0_FULL_SERIAL,PASS,1,16384,16777216,941.79455936,941.79455936,949.696004391,953.621768951,1543.85919571,1547.80160069,1502.27200985,1913.72799873,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,1,B1_SLICE_SERIAL,PASS,1,16384,16777216,877.521918416,1396.85121179,1400.81343532,881.940479279,1751.18207455,1755.14431238,1674.36802387,2776.00002289,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,839.230076671,1012.48447418,1016.50432229,844.453765452,1615.86560249,1619.8342514,1590.6560421,1757.76004791,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,2,B0_FULL_SERIAL,PASS,1,16384,16777216,740.936957002,740.936957002,748.840321898,752.76736021,1342.61695385,1346.57663703,1297.79195786,1988.57605457,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,2,B1_SLICE_SERIAL,PASS,1,16384,16777216,371.489919126,898.309761286,902.271361351,375.836162269,1252.64768124,1256.60928249,1246.14405632,1410.04800797,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,363.234560788,533.340156078,537.310721278,368.497921526,1141.13408089,1145.08991718,1107.00798035,1306.97596073,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,3,B0_FULL_SERIAL,PASS,1,16384,16777216,935.684478879,935.684478879,943.569275737,947.509118319,1537.48095751,1541.44128442,1485.24796963,2420.60804367,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,3,B1_SLICE_SERIAL,PASS,1,16384,16777216,810.26303947,1329.05985117,1333.02271962,814.59199816,1683.27872038,1687.2383976,1677.79195309,1866.33598804,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,819.995517433,990.427522659,994.384642839,825.257599652,1596.99072838,1600.95872402,1571.9679594,1976.44805908,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3
