scope,run_id,timestamp_utc,host,gpu_model,device,rank,rank_count,dtype,M,N,K,collective,q,slice_bytes,backend,strategy,transport_hint,warmup,iteration_index,status,correctness,max_abs_error,max_rel_error,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,e2e_us,log_path,window
global_max,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,0,PASS,1,0,0,454.719990492,454.719990492,511.647999287,515.168011189,4142.20809937,4145.76005936,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,1,PASS,1,0,0,606.239974499,606.239974499,663.071990013,666.592001915,4281.88800812,4285.43996811,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,2,PASS,1,0,0,676.415979862,676.415979862,733.407974243,736.959993839,4351.58395767,4355.4558754,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,3,PASS,1,0,0,608.448028564,608.448028564,664.735972881,668.255984783,4283.93602371,4287.45603561,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,4,PASS,1,0,0,644.352018833,644.352018833,701.183974743,704.9279809,4320.00017166,4323.52018356,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,5,PASS,1,0,0,807.359993458,807.359993458,864.448010921,867.999970913,4507.67993927,4511.45601273,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,6,PASS,1,0,0,715.167999268,715.167999268,772.063970566,775.520026684,4390.39993286,4393.95189285,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,7,PASS,1,0,0,1204.22399044,1204.22399044,1261.05594635,1264.60802555,4879.39214706,4882.91215897,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,8,PASS,1,0,0,624.768018723,624.768018723,681.728005409,685.248017311,4300.6401062,4304.1601181,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,9,PASS,1,0,0,761.247992516,761.247992516,818.271994591,821.759998798,4438.33589554,4441.88785553,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,10,PASS,1,0,0,746.496021748,746.496021748,803.232014179,806.783974171,4422.88017273,4426.81598663,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,11,PASS,1,0,0,1769.50395107,1769.50395107,1826.49600506,1830.20794392,5445.56808472,5449.08809662,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,12,PASS,1,0,0,799.072027206,799.072027206,855.840027332,859.35997963,4474.2398262,4477.7598381,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,13,PASS,1,0,0,754.07999754,754.07999754,810.591995716,814.079999924,4430.65595627,4434.17596817,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,14,PASS,1,0,0,692.095994949,692.095994949,749.248027802,752.767980099,4368.15977097,4371.67978287,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,15,PASS,1,0,0,770.367980003,770.367980003,826.911985874,830.431997776,4468.76811981,4472.28813171,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,16,PASS,1,0,0,733.919978142,733.919978142,790.624022484,794.143974781,4409.44004059,4412.96005249,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,17,PASS,1,0,0,761.344015598,761.344015598,817.759990692,821.280002594,4437.53576279,4441.05577469,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,18,PASS,1,0,0,759.584009647,759.584009647,816.287994385,819.808006287,5112.92791367,5116.83177948,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,19,PASS,1,0,0,776.992022991,776.992022991,839.583992958,843.424022198,5320.15991211,5324.06377792,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:20Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,20,PASS,1,0,0,633.4400177,633.4400177,696.319997311,700.223982334,5166.78380966,5170.68815231,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:20Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,21,PASS,1,0,0,737.407982349,737.407982349,800.288021564,804.192006588,5271.20018005,5275.16794205,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:20Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,22,PASS,1,0,0,774.55997467,774.55997467,837.47202158,841.408014297,5308.1278801,5312.06417084,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:20Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,23,PASS,1,0,0,779.936015606,779.936015606,842.815995216,846.751987934,5313.6639595,5317.56782532,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:20Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,24,PASS,1,0,0,652.383983135,652.383983135,715.040028095,718.944013119,5193.3760643,5197.3118782,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:20Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,25,PASS,1,0,0,777.184009552,777.184009552,839.904010296,843.840003014,5310.97602844,5314.91184235,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:20Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,26,PASS,1,0,0,699.168026447,699.168026447,762.336015701,766.272008419,5238.33608627,5242.27190018,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:20Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,27,PASS,1,0,0,747.200012207,747.200012207,809.855997562,813.79199028,5280.76791763,5284.67178345,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:20Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,28,PASS,1,0,0,611.648023129,611.648023129,674.624025822,678.560018539,5145.79200745,5149.72782135,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:20Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,29,PASS,1,0,0,782.335996628,782.335996628,845.055997372,848.959982395,5315.51980972,5319.45610046,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:21Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,30,PASS,1,0,0,743.040025234,743.040025234,806.432008743,810.368001461,5277.63223648,5281.56805038,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:21Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,31,PASS,1,0,0,625.79202652,625.79202652,688.736021519,692.672014236,5159.77621078,5163.71202469,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
global_max,w8_MH_q16_rep2,2026-09-03T05:00:21Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,0,0,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,32,PASS,1,0,0,812.928020954,812.928020954,875.680029392,879.584014416,5354.97617722,5358.91199112,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank{rank}.log,8
