scope,run_id,timestamp_utc,host,gpu_model,device,rank,rank_count,dtype,M,N,K,collective,q,slice_bytes,backend,strategy,transport_hint,warmup,iteration_index,status,correctness,max_abs_error,max_rel_error,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,e2e_us,log_path,window
rank,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,0,PASS,1,0,0,445.760011673,445.760011673,502.399981022,505.887985229,4122.07984924,4125.59986115,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,1,PASS,1,0,0,464.096009731,464.096009731,520.255982876,523.775994778,4140.31982422,4143.83983612,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,2,PASS,1,0,0,554.304003716,554.304003716,610.592007637,614.112019539,4254.2719841,4257.791996,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,3,PASS,1,0,0,608.448028564,608.448028564,664.735972881,668.255984783,4283.93602371,4287.45603561,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,4,PASS,1,0,0,536.800026894,536.800026894,593.119978905,596.639990807,4211.90404892,4215.39211273,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,5,PASS,1,0,0,807.359993458,807.359993458,864.448010921,867.999970913,4507.67993927,4511.45601273,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,6,PASS,1,0,0,586.175978184,586.175978184,642.463982105,645.983994007,4261.82413101,4265.72799683,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,7,PASS,1,0,0,1104.32004929,1104.32004929,1160.89594364,1164.41595554,4780.41601181,4783.9679718,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,8,PASS,1,0,0,464.287996292,464.287996292,521.023988724,524.544000626,4140.57588577,4144.09589767,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:18Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,9,PASS,1,0,0,761.247992516,761.247992516,818.271994591,821.759998798,4438.33589554,4441.88785553,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,10,PASS,1,0,0,746.496021748,746.496021748,803.232014179,806.783974171,4422.88017273,4426.81598663,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,11,PASS,1,0,0,1692.96002388,1692.96002388,1749.47202206,1752.99203396,5388.671875,5392.1918869,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,12,PASS,1,0,0,790.624022484,790.624022484,847.648024559,851.167976856,4467.42391586,4470.97587585,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,13,PASS,1,0,0,754.07999754,754.07999754,810.591995716,814.079999924,4430.65595627,4434.17596817,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,14,PASS,1,0,0,563.80802393,563.80802393,620.320022106,623.839974403,4239.67981339,4243.23177338,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,15,PASS,1,0,0,770.367980003,770.367980003,826.911985874,830.431997776,4468.76811981,4472.28813171,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,16,PASS,1,0,0,593.216001987,593.216001987,649.887979031,653.407990932,4268.95999908,4272.48001099,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,17,PASS,1,0,0,761.344015598,761.344015598,817.759990692,821.280002594,4437.53576279,4441.05577469,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,18,PASS,1,0,0,622.943997383,622.943997383,679.90398407,683.359980583,4320.92809677,4324.44810867,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
rank,w8_MH_q16_rep2,2026-09-03T05:00:19Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,8192,2048,2048,AllGather-GEMM,16,4194304,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,19,PASS,1,0,0,776.992022991,776.992022991,839.583992958,843.424022198,5320.15991211,5324.06377792,results/window_w8_supplement_20260903T045729Z/w8_MH_q16_rep2/rank1.log,8
