scope,run_id,timestamp_utc,host,gpu_model,device,rank,rank_count,dtype,M,N,K,collective,q,slice_bytes,backend,strategy,transport_hint,warmup,iteration_index,status,correctness,max_abs_error,max_rel_error,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,e2e_us,log_path,window
rank,w8_S5_q16_rep3,2026-09-03T04:59:36Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,16384,1024,4096,AllGather-GEMM,16,16777216,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,0,PASS,1,0,0,1590.01600742,1590.01600742,1646.81601524,1650.49600601,8876.67179108,8880.19180298,results/window_w8_supplement_20260903T045729Z/w8_S5_q16_rep3/rank1.log,8
rank,w8_S5_q16_rep3,2026-09-03T04:59:36Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,16384,1024,4096,AllGather-GEMM,16,16777216,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,1,PASS,1,0,0,2558.81595612,2558.81595612,2615.87190628,2619.29607391,9844.41566467,9847.93567657,results/window_w8_supplement_20260903T045729Z/w8_S5_q16_rep3/rank1.log,8
rank,w8_S5_q16_rep3,2026-09-03T04:59:36Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,16384,1024,4096,AllGather-GEMM,16,16777216,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,2,PASS,1,0,0,2755.00798225,2755.00798225,2811.45596504,2814.97597694,10041.3122177,10044.8322296,results/window_w8_supplement_20260903T045729Z/w8_S5_q16_rep3/rank1.log,8
rank,w8_S5_q16_rep3,2026-09-03T04:59:36Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,16384,1024,4096,AllGather-GEMM,16,16777216,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,3,PASS,1,0,0,1631.29603863,1631.29603863,1687.74402142,1691.23196602,8952.70442963,8956.25591278,results/window_w8_supplement_20260903T045729Z/w8_S5_q16_rep3/rank1.log,8
rank,w8_S5_q16_rep3,2026-09-03T04:59:36Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,16384,1024,4096,AllGather-GEMM,16,16777216,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,4,PASS,1,0,0,1691.13600254,1691.13600254,1748.00002575,1751.52003765,9010.27202606,9013.79203796,results/window_w8_supplement_20260903T045729Z/w8_S5_q16_rep3/rank1.log,8
rank,w8_S5_q16_rep3,2026-09-03T04:59:36Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,16384,1024,4096,AllGather-GEMM,16,16777216,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,5,PASS,1,0,0,1643.39196682,1643.39196682,1700.19197464,1704.12802696,8930.08041382,8933.60042572,results/window_w8_supplement_20260903T045729Z/w8_S5_q16_rep3/rank1.log,8
rank,w8_S5_q16_rep3,2026-09-03T04:59:36Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,16384,1024,4096,AllGather-GEMM,16,16777216,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,6,PASS,1,0,0,1669.11995411,1669.11995411,1725.6000042,1729.1200161,8953.69625092,8957.21626282,results/window_w8_supplement_20260903T045729Z/w8_S5_q16_rep3/rank1.log,8
rank,w8_S5_q16_rep3,2026-09-03T04:59:36Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,16384,1024,4096,AllGather-GEMM,16,16777216,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,7,PASS,1,0,0,1634.84799862,1634.84799862,1691.45596027,1694.97597218,8920.89557648,8924.41558838,results/window_w8_supplement_20260903T045729Z/w8_S5_q16_rep3/rank1.log,8
rank,w8_S5_q16_rep3,2026-09-03T04:59:36Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,16384,1024,4096,AllGather-GEMM,16,16777216,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,8,PASS,1,0,0,1681.53595924,1681.53595924,1738.39998245,1741.91999435,8966.27235413,8970.08037567,results/window_w8_supplement_20260903T045729Z/w8_S5_q16_rep3/rank1.log,8
rank,w8_S5_q16_rep3,2026-09-03T04:59:37Z,cs-ec021-cfaa2-server,NVIDIA A800-SXM4-80GB,1,1,4,fp32,16384,1024,4096,AllGather-GEMM,16,16777216,NCCL,B0_FULL_SERIAL,UNSPECIFIED,20,9,PASS,1,0,0,1645.15197277,1645.15197277,1701.79200172,1705.27994633,8930.78422546,8934.33570862,results/window_w8_supplement_20260903T045729Z/w8_S5_q16_rep3/rank1.log,8
