case_id,mode,rank,npes,epoch,slot,payload_bytes,issue_to_comm_stream_complete_us,issue_to_release_us,issue_to_checked_us,checksum_mismatches,iteration_status
A2_put_signal_8M,put_signal,3,4,1,0,8388608,385.056,455.584,515.360,0,PASS
A2_put_signal_8M,put_signal,3,4,2,0,8388608,330.688,342.048,391.968,0,PASS
A2_put_signal_8M,put_signal,3,4,3,0,8388608,313.312,324.096,373.888,0,PASS
A2_put_signal_8M,put_signal,3,4,4,0,8388608,313.376,324.512,374.016,0,PASS
A2_put_signal_8M,put_signal,3,4,5,0,8388608,313.056,324.768,374.624,0,PASS
A2_put_signal_8M,put_signal,3,4,6,0,8388608,312.224,323.328,372.928,0,PASS
A2_put_signal_8M,put_signal,3,4,7,0,8388608,305.536,319.488,369.536,0,PASS
A2_put_signal_8M,put_signal,3,4,8,0,8388608,290.592,321.664,371.520,0,PASS
A2_put_signal_8M,put_signal,3,4,9,0,8388608,295.040,321.024,371.008,0,PASS
A2_put_signal_8M,put_signal,3,4,10,0,8388608,312.096,323.168,373.152,0,PASS
A2_put_signal_8M,put_signal,3,4,11,0,8388608,304.864,316.000,366.304,0,PASS
A2_put_signal_8M,put_signal,3,4,12,0,8388608,307.200,319.840,369.600,0,PASS
A2_put_signal_8M,put_signal,3,4,13,0,8388608,310.496,322.528,372.544,0,PASS
A2_put_signal_8M,put_signal,3,4,14,0,8388608,294.080,319.136,368.832,0,PASS
A2_put_signal_8M,put_signal,3,4,15,0,8388608,309.920,320.960,370.944,0,PASS
A2_put_signal_8M,put_signal,3,4,16,0,8388608,316.608,327.776,377.440,0,PASS
A2_put_signal_8M,put_signal,3,4,17,0,8388608,312.768,324.704,374.784,0,PASS
A2_put_signal_8M,put_signal,3,4,18,0,8388608,311.200,322.432,372.256,0,PASS
A2_put_signal_8M,put_signal,3,4,19,0,8388608,308.192,324.608,374.688,0,PASS
A2_put_signal_8M,put_signal,3,4,20,0,8388608,309.792,320.832,370.944,0,PASS
A2_put_signal_8M,put_signal,3,4,21,0,8388608,299.872,314.368,364.640,0,PASS
A2_put_signal_8M,put_signal,3,4,22,0,8388608,314.848,325.920,376.032,0,PASS
A2_put_signal_8M,put_signal,3,4,23,0,8388608,307.424,332.928,382.816,0,PASS
A2_put_signal_8M,put_signal,3,4,24,0,8388608,310.112,321.376,371.552,0,PASS
A2_put_signal_8M,put_signal,3,4,25,0,8388608,310.368,322.464,372.384,0,PASS
A2_put_signal_8M,put_signal,3,4,26,0,8388608,311.296,322.208,372.192,0,PASS
A2_put_signal_8M,put_signal,3,4,27,0,8388608,310.816,324.160,374.016,0,PASS
A2_put_signal_8M,put_signal,3,4,28,0,8388608,313.504,324.736,374.816,0,PASS
A2_put_signal_8M,put_signal,3,4,29,0,8388608,304.032,323.328,373.216,0,PASS
A2_put_signal_8M,put_signal,3,4,30,0,8388608,309.536,323.296,373.504,0,PASS
A2_put_signal_8M,put_signal,3,4,31,0,8388608,312.704,323.648,373.632,0,PASS
A2_put_signal_8M,put_signal,3,4,32,0,8388608,309.952,321.312,371.744,0,PASS
A2_put_signal_8M,put_signal,3,4,33,0,8388608,298.400,319.008,368.832,0,PASS
A2_put_signal_8M,put_signal,3,4,34,0,8388608,306.432,320.416,370.464,0,PASS
A2_put_signal_8M,put_signal,3,4,35,0,8388608,312.800,324.064,374.048,0,PASS
A2_put_signal_8M,put_signal,3,4,36,0,8388608,307.456,321.824,372.000,0,PASS
A2_put_signal_8M,put_signal,3,4,37,0,8388608,339.296,351.360,401.600,0,PASS
A2_put_signal_8M,put_signal,3,4,38,0,8388608,316.256,327.680,377.632,0,PASS
A2_put_signal_8M,put_signal,3,4,39,0,8388608,312.576,323.520,373.440,0,PASS
A2_put_signal_8M,put_signal,3,4,40,0,8388608,310.304,321.216,371.584,0,PASS
A2_put_signal_8M,put_signal,3,4,41,0,8388608,313.312,325.088,375.232,0,PASS
A2_put_signal_8M,put_signal,3,4,42,0,8388608,306.944,320.480,370.432,0,PASS
A2_put_signal_8M,put_signal,3,4,43,0,8388608,303.168,321.312,371.296,0,PASS
A2_put_signal_8M,put_signal,3,4,44,0,8388608,311.360,322.496,372.224,0,PASS
A2_put_signal_8M,put_signal,3,4,45,0,8388608,316.160,328.128,378.112,0,PASS
A2_put_signal_8M,put_signal,3,4,46,0,8388608,304.736,319.808,369.888,0,PASS
A2_put_signal_8M,put_signal,3,4,47,0,8388608,310.624,321.664,371.552,0,PASS
A2_put_signal_8M,put_signal,3,4,48,0,8388608,309.728,322.048,372.064,0,PASS
A2_put_signal_8M,put_signal,3,4,49,0,8388608,312.288,324.416,374.240,0,PASS
A2_put_signal_8M,put_signal,3,4,50,0,8388608,306.720,319.360,369.344,0,PASS
A2_put_signal_8M,put_signal,3,4,51,0,8388608,306.592,324.512,374.304,0,PASS
A2_put_signal_8M,put_signal,3,4,52,0,8388608,306.432,319.104,369.344,0,PASS
A2_put_signal_8M,put_signal,3,4,53,0,8388608,310.016,321.984,371.904,0,PASS
A2_put_signal_8M,put_signal,3,4,54,0,8388608,310.688,321.792,371.744,0,PASS
A2_put_signal_8M,put_signal,3,4,55,0,8388608,314.528,325.472,375.712,0,PASS
A2_put_signal_8M,put_signal,3,4,56,0,8388608,308.512,320.320,370.176,0,PASS
A2_put_signal_8M,put_signal,3,4,57,0,8388608,312.960,325.152,375.136,0,PASS
A2_put_signal_8M,put_signal,3,4,58,0,8388608,308.128,319.200,368.864,0,PASS
A2_put_signal_8M,put_signal,3,4,59,0,8388608,309.920,321.920,371.808,0,PASS
A2_put_signal_8M,put_signal,3,4,60,0,8388608,310.208,321.312,371.200,0,PASS
A2_put_signal_8M,put_signal,3,4,61,0,8388608,305.920,322.272,372.032,0,PASS
A2_put_signal_8M,put_signal,3,4,62,0,8388608,302.208,316.608,366.592,0,PASS
A2_put_signal_8M,put_signal,3,4,63,0,8388608,301.664,318.208,368.256,0,PASS
A2_put_signal_8M,put_signal,3,4,64,0,8388608,314.528,325.440,375.264,0,PASS
A2_put_signal_8M,put_signal,3,4,65,0,8388608,313.152,325.088,374.752,0,PASS
A2_put_signal_8M,put_signal,3,4,66,0,8388608,304.736,315.968,366.048,0,PASS
A2_put_signal_8M,put_signal,3,4,67,0,8388608,322.080,333.248,383.072,0,PASS
A2_put_signal_8M,put_signal,3,4,68,0,8388608,317.152,327.872,377.792,0,PASS
A2_put_signal_8M,put_signal,3,4,69,0,8388608,306.944,321.440,371.904,0,PASS
A2_put_signal_8M,put_signal,3,4,70,0,8388608,315.104,325.984,376.000,0,PASS
A2_put_signal_8M,put_signal,3,4,71,0,8388608,310.528,321.472,371.552,0,PASS
A2_put_signal_8M,put_signal,3,4,72,0,8388608,336.736,351.136,401.088,0,PASS
A2_put_signal_8M,put_signal,3,4,73,0,8388608,325.472,342.688,392.928,0,PASS
A2_put_signal_8M,put_signal,3,4,74,0,8388608,306.560,317.632,367.296,0,PASS
A2_put_signal_8M,put_signal,3,4,75,0,8388608,307.712,322.112,371.744,0,PASS
A2_put_signal_8M,put_signal,3,4,76,0,8388608,322.016,333.152,383.136,0,PASS
A2_put_signal_8M,put_signal,3,4,77,0,8388608,314.688,326.624,376.416,0,PASS
A2_put_signal_8M,put_signal,3,4,78,0,8388608,310.944,321.792,371.840,0,PASS
A2_put_signal_8M,put_signal,3,4,79,0,8388608,313.024,324.064,373.984,0,PASS
A2_put_signal_8M,put_signal,3,4,80,0,8388608,309.728,320.608,370.752,0,PASS
A2_put_signal_8M,put_signal,3,4,81,0,8388608,306.912,319.296,369.408,0,PASS
A2_put_signal_8M,put_signal,3,4,82,0,8388608,310.880,321.984,371.840,0,PASS
A2_put_signal_8M,put_signal,3,4,83,0,8388608,310.048,323.744,373.888,0,PASS
A2_put_signal_8M,put_signal,3,4,84,0,8388608,317.696,328.640,378.176,0,PASS
A2_put_signal_8M,put_signal,3,4,85,0,8388608,312.448,324.320,374.080,0,PASS
A2_put_signal_8M,put_signal,3,4,86,0,8388608,313.664,324.544,374.464,0,PASS
A2_put_signal_8M,put_signal,3,4,87,0,8388608,312.832,323.648,373.632,0,PASS
A2_put_signal_8M,put_signal,3,4,88,0,8388608,299.072,318.048,367.904,0,PASS
A2_put_signal_8M,put_signal,3,4,89,0,8388608,308.032,320.160,370.048,0,PASS
A2_put_signal_8M,put_signal,3,4,90,0,8388608,314.144,325.216,375.136,0,PASS
A2_put_signal_8M,put_signal,3,4,91,0,8388608,310.752,322.368,372.064,0,PASS
A2_put_signal_8M,put_signal,3,4,92,0,8388608,312.864,323.936,374.016,0,PASS
A2_put_signal_8M,put_signal,3,4,93,0,8388608,310.560,322.656,372.832,0,PASS
A2_put_signal_8M,put_signal,3,4,94,0,8388608,314.848,325.760,375.648,0,PASS
A2_put_signal_8M,put_signal,3,4,95,0,8388608,313.088,323.904,373.824,0,PASS
A2_put_signal_8M,put_signal,3,4,96,0,8388608,309.344,324.800,374.752,0,PASS
A2_put_signal_8M,put_signal,3,4,97,0,8388608,295.072,319.552,369.440,0,PASS
A2_put_signal_8M,put_signal,3,4,98,0,8388608,309.888,320.928,370.880,0,PASS
A2_put_signal_8M,put_signal,3,4,99,0,8388608,314.336,325.408,375.328,0,PASS
A2_put_signal_8M,put_signal,3,4,100,0,8388608,307.200,320.448,370.496,0,PASS
A2_put_signal_8M,put_signal,3,4,101,0,8388608,304.800,320.928,371.040,0,PASS
A2_put_signal_8M,put_signal,3,4,102,0,8388608,311.392,322.880,372.640,0,PASS
