case_id,mode,rank,npes,epoch,slot,payload_bytes,issue_to_comm_stream_complete_us,issue_to_release_us,issue_to_checked_us,checksum_mismatches,iteration_status
A2_put_signal_quiet_64M,put_signal,2,4,1,0,67108864,2455.488,2484.384,2808.320,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,2,0,67108864,2335.520,2347.680,2661.728,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,3,0,67108864,2333.504,2345.280,2659.360,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,4,0,67108864,2333.728,2345.408,2659.488,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,5,0,67108864,2337.216,2349.024,2662.624,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,6,0,67108864,2340.064,2351.936,2665.632,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,7,0,67108864,2339.392,2350.784,2664.960,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,8,0,67108864,2363.584,2375.488,2689.088,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,9,0,67108864,2329.472,2341.216,2655.296,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,10,0,67108864,2337.376,2348.800,2662.560,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,11,0,67108864,2331.008,2342.976,2657.184,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,12,0,67108864,2328.288,2340.128,2654.048,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,13,0,67108864,2340.576,2352.672,2666.240,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,14,0,67108864,2336.224,2347.904,2661.280,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,15,0,67108864,2339.360,2351.168,2665.344,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,16,0,67108864,2346.528,2358.400,2671.936,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,17,0,67108864,2333.504,2345.312,2658.976,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,18,0,67108864,2343.904,2355.584,2669.216,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,19,0,67108864,2389.376,2401.472,2714.784,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,20,0,67108864,2327.776,2339.904,2653.632,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,21,0,67108864,2341.888,2353.920,2667.712,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,22,0,67108864,2340.576,2352.256,2666.112,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,23,0,67108864,2337.824,2349.664,2663.328,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,24,0,67108864,2335.168,2346.784,2660.672,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,25,0,67108864,2334.688,2346.496,2660.704,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,26,0,67108864,2360.384,2372.032,2685.440,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,27,0,67108864,2345.728,2357.216,2670.624,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,28,0,67108864,2334.720,2346.624,2660.352,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,29,0,67108864,2333.408,2345.184,2658.464,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,30,0,67108864,2337.760,2349.408,2663.072,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,31,0,67108864,2339.680,2351.488,2665.344,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,32,0,67108864,2345.664,2357.568,2670.912,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,33,0,67108864,2337.152,2348.736,2662.368,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,34,0,67108864,2336.928,2348.544,2662.048,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,35,0,67108864,2336.672,2348.480,2662.432,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,36,0,67108864,2345.440,2357.088,2670.880,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,37,0,67108864,2385.184,2396.992,2710.848,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,38,0,67108864,2340.928,2352.608,2666.304,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,39,0,67108864,2331.488,2343.264,2656.768,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,40,0,67108864,2342.240,2354.112,2668.096,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,41,0,67108864,2348.000,2359.776,2674.112,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,42,0,67108864,2342.784,2354.432,2667.840,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,43,0,67108864,2344.672,2356.480,2669.856,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,44,0,67108864,2366.656,2378.336,2691.840,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,45,0,67108864,2343.200,2355.040,2668.704,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,46,0,67108864,2344.896,2356.672,2670.144,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,47,0,67108864,2342.720,2354.304,2667.744,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,48,0,67108864,2344.064,2355.968,2669.664,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,49,0,67108864,2339.840,2351.840,2665.920,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,50,0,67108864,2343.296,2354.720,2668.032,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,51,0,67108864,2329.984,2342.144,2655.936,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,52,0,67108864,2337.280,2349.152,2663.008,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,53,0,67108864,2346.144,2358.368,2672.192,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,54,0,67108864,2332.704,2344.352,2658.368,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,55,0,67108864,2386.272,2398.048,2712.096,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,56,0,67108864,2337.536,2349.472,2663.008,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,57,0,67108864,2344.128,2355.936,2669.632,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,58,0,67108864,2337.504,2349.408,2662.816,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,59,0,67108864,2341.984,2353.568,2667.648,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,60,0,67108864,2334.464,2346.720,2661.088,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,61,0,67108864,2331.264,2343.040,2657.056,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,62,0,67108864,2346.336,2358.016,2671.488,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,63,0,67108864,2343.584,2355.360,2668.960,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,64,0,67108864,2351.296,2362.976,2676.800,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,65,0,67108864,2331.808,2343.648,2657.088,0,PASS
A2_put_signal_quiet_64M,put_signal,2,4,66,0,67108864,2340.512,2352.160,2665.952,0,PASS
