case_id,mode,rank,npes,epoch,slot,payload_bytes,issue_to_comm_stream_complete_us,issue_to_release_us,issue_to_checked_us,checksum_mismatches,iteration_status
A3_credit_slot4_1M,put_signal,2,4,1,0,1048576,176.256,291.744,702.944,0,PASS
A3_credit_slot4_1M,put_signal,2,4,2,1,1048576,69.856,81.472,112.768,0,PASS
A3_credit_slot4_1M,put_signal,2,4,3,2,1048576,68.800,80.448,111.776,0,PASS
A3_credit_slot4_1M,put_signal,2,4,4,3,1048576,76.608,88.000,120.288,0,PASS
A3_credit_slot4_1M,put_signal,2,4,5,0,1048576,89.472,100.640,131.392,0,PASS
A3_credit_slot4_1M,put_signal,2,4,6,1,1048576,60.224,71.648,102.528,0,PASS
A3_credit_slot4_1M,put_signal,2,4,7,2,1048576,55.552,66.752,97.888,0,PASS
A3_credit_slot4_1M,put_signal,2,4,8,3,1048576,66.592,77.760,109.152,0,PASS
A3_credit_slot4_1M,put_signal,2,4,9,0,1048576,63.488,74.880,109.632,0,PASS
A3_credit_slot4_1M,put_signal,2,4,10,1,1048576,63.456,74.592,105.888,0,PASS
A3_credit_slot4_1M,put_signal,2,4,11,2,1048576,60.160,71.360,102.816,0,PASS
A3_credit_slot4_1M,put_signal,2,4,12,3,1048576,66.944,78.208,108.512,0,PASS
A3_credit_slot4_1M,put_signal,2,4,13,0,1048576,63.264,74.432,105.152,0,PASS
A3_credit_slot4_1M,put_signal,2,4,14,1,1048576,67.296,78.464,108.960,0,PASS
A3_credit_slot4_1M,put_signal,2,4,15,2,1048576,72.608,83.776,114.848,0,PASS
A3_credit_slot4_1M,put_signal,2,4,16,3,1048576,70.752,81.952,113.056,0,PASS
A3_credit_slot4_1M,put_signal,2,4,17,0,1048576,67.872,79.040,109.664,0,PASS
A3_credit_slot4_1M,put_signal,2,4,18,1,1048576,67.648,78.816,109.408,0,PASS
A3_credit_slot4_1M,put_signal,2,4,19,2,1048576,68.384,79.520,113.472,0,PASS
A3_credit_slot4_1M,put_signal,2,4,20,3,1048576,60.672,72.000,102.432,0,PASS
A3_credit_slot4_1M,put_signal,2,4,21,0,1048576,58.560,69.760,99.808,0,PASS
A3_credit_slot4_1M,put_signal,2,4,22,1,1048576,60.736,72.544,102.912,0,PASS
A3_credit_slot4_1M,put_signal,2,4,23,2,1048576,82.624,93.824,125.280,0,PASS
A3_credit_slot4_1M,put_signal,2,4,24,3,1048576,57.696,70.112,100.768,0,PASS
A3_credit_slot4_1M,put_signal,2,4,25,0,1048576,64.480,75.712,106.464,0,PASS
A3_credit_slot4_1M,put_signal,2,4,26,1,1048576,65.984,77.216,107.904,0,PASS
A3_credit_slot4_1M,put_signal,2,4,27,2,1048576,59.584,70.784,101.952,0,PASS
A3_credit_slot4_1M,put_signal,2,4,28,3,1048576,66.848,78.176,109.440,0,PASS
A3_credit_slot4_1M,put_signal,2,4,29,0,1048576,62.368,73.760,105.088,0,PASS
A3_credit_slot4_1M,put_signal,2,4,30,1,1048576,67.648,78.848,114.688,0,PASS
A3_credit_slot4_1M,put_signal,2,4,31,2,1048576,59.072,70.368,102.624,0,PASS
A3_credit_slot4_1M,put_signal,2,4,32,3,1048576,68.032,79.264,109.888,0,PASS
A3_credit_slot4_1M,put_signal,2,4,33,0,1048576,65.952,77.344,109.312,0,PASS
A3_credit_slot4_1M,put_signal,2,4,34,1,1048576,59.680,70.848,101.472,0,PASS
A3_credit_slot4_1M,put_signal,2,4,35,2,1048576,64.192,75.424,107.456,0,PASS
A3_credit_slot4_1M,put_signal,2,4,36,3,1048576,72.064,83.264,113.792,0,PASS
A3_credit_slot4_1M,put_signal,2,4,37,0,1048576,62.528,73.760,105.088,0,PASS
A3_credit_slot4_1M,put_signal,2,4,38,1,1048576,55.136,70.272,101.088,0,PASS
A3_credit_slot4_1M,put_signal,2,4,39,2,1048576,61.248,72.640,104.448,0,PASS
A3_credit_slot4_1M,put_signal,2,4,40,3,1048576,59.872,71.072,104.544,0,PASS
A3_credit_slot4_1M,put_signal,2,4,41,0,1048576,59.104,70.592,101.856,0,PASS
A3_credit_slot4_1M,put_signal,2,4,42,1,1048576,67.936,79.392,110.016,0,PASS
A3_credit_slot4_1M,put_signal,2,4,43,2,1048576,65.024,76.224,107.040,0,PASS
A3_credit_slot4_1M,put_signal,2,4,44,3,1048576,69.792,81.088,112.352,0,PASS
A3_credit_slot4_1M,put_signal,2,4,45,0,1048576,57.728,68.896,99.040,0,PASS
A3_credit_slot4_1M,put_signal,2,4,46,1,1048576,65.152,76.352,106.848,0,PASS
A3_credit_slot4_1M,put_signal,2,4,47,2,1048576,57.792,69.248,100.320,0,PASS
A3_credit_slot4_1M,put_signal,2,4,48,3,1048576,64.064,75.232,106.240,0,PASS
A3_credit_slot4_1M,put_signal,2,4,49,0,1048576,60.928,72.096,103.104,0,PASS
A3_credit_slot4_1M,put_signal,2,4,50,1,1048576,68.928,80.064,110.688,0,PASS
A3_credit_slot4_1M,put_signal,2,4,51,2,1048576,55.520,67.008,102.688,0,PASS
A3_credit_slot4_1M,put_signal,2,4,52,3,1048576,72.288,83.488,114.272,0,PASS
