case_id,mode,rank,npes,epoch,slot,payload_bytes,issue_to_comm_stream_complete_us,issue_to_release_us,issue_to_checked_us,checksum_mismatches,iteration_status
A4_fcollect_4K_smoke,fcollect,2,4,1,0,4096,48743.233,48747.330,48768.799,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,2,0,4096,54.656,58.528,68.864,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,3,0,4096,29.184,33.216,43.488,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,4,0,4096,27.808,31.584,40.704,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,5,0,4096,27.936,31.808,42.528,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,6,0,4096,26.656,30.432,39.552,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,7,0,4096,27.136,30.944,40.352,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,8,0,4096,29.408,33.280,42.528,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,9,0,4096,29.184,33.056,43.456,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,10,0,4096,27.136,30.944,41.216,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,11,0,4096,26.720,30.848,40.128,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,12,0,4096,25.888,29.696,39.872,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,13,0,4096,26.112,29.984,40.288,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,14,0,4096,26.112,29.984,39.200,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,15,0,4096,26.368,30.208,40.608,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,16,0,4096,25.504,29.280,38.400,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,17,0,4096,26.304,30.144,40.480,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,18,0,4096,27.488,31.360,41.696,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,19,0,4096,26.272,30.144,39.232,0,PASS
A4_fcollect_4K_smoke,fcollect,2,4,20,0,4096,26.016,29.856,39.872,0,PASS
