run_id,rank_count,path,family,candidate,M,N,K,q,slice_index,slice_bytes,iteration_index,t_issue_us,t_release_max_us,t_gemm_start_max_us,t_gemm_end_max_us,t_gemm_duration_max_us,correctness_all_ranks,status
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,0,4194304,0,0,204.608,210.880,514.784,303.904,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,1,4194304,0,0,538.464,548.064,849.920,307.872,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,2,4194304,0,0,886.400,894.912,1195.904,307.392,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,3,4194304,0,0,1251.616,1255.808,1515.904,266.432,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,0,4194304,1,0,213.824,220.064,528.928,309.088,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,1,4194304,1,0,573.536,588.768,868.832,280.064,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,2,4194304,1,0,917.952,925.440,1186.720,269.728,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,3,4194304,1,0,1180.704,1204.128,1464.096,260.288,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,0,4194304,2,0,210.752,217.728,525.376,308.000,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,1,4194304,2,0,635.136,641.312,906.464,276.672,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,2,4194304,2,0,955.296,964.480,1228.192,263.712,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,3,4194304,2,0,1246.912,1250.976,1510.336,260.480,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,0,4194304,3,0,200.192,206.368,514.560,308.192,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,1,4194304,3,0,593.632,611.616,890.752,279.136,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,2,4194304,3,0,879.936,920.672,1220.032,299.360,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,3,4194304,3,0,1190.112,1237.376,1497.056,259.680,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,0,4194304,4,0,186.912,193.184,501.792,309.472,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,1,4194304,4,0,608.896,616.960,885.920,276.064,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,2,4194304,4,0,923.552,933.184,1197.440,265.152,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,3,4194304,4,0,1223.648,1227.584,1486.688,259.840,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,0,4194304,5,0,190.528,197.376,508.032,310.656,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q4_rep1,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,4,1,4194304,5,0,614.880,621.248,884.032,275.840,PASS,0
