run_id,rank,rank_count,device,gfx_arch,path,family,candidate,M,N,K,q,slice_index,slice_bytes,iteration_index,t_issue_us,t_release_us,t_gemm_start_us,t_gemm_end_us,t_gemm_duration_us,correctness,status
PHASEB_formal_d1w_C0_DEFAULT_N512_q8_rep1,2,4,2,sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,8,0,2097152,0,0,116.608,123.104,293.952,170.848,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q8_rep1,2,4,2,sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,8,1,2097152,0,0,324.576,331.552,508.512,176.960,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q8_rep1,2,4,2,sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,8,2,2097152,0,0,516.160,539.744,702.336,162.592,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q8_rep1,2,4,2,sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,8,3,2097152,0,0,634.272,741.504,894.688,153.184,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q8_rep1,2,4,2,sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,8,4,2097152,0,0,829.024,921.888,1076.768,154.880,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q8_rep1,2,4,2,sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,8,5,2097152,0,0,1025.952,1105.280,1258.592,153.312,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q8_rep1,2,4,2,sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,8,6,2097152,0,0,1210.432,1287.392,1438.368,150.976,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q8_rep1,2,4,2,sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,8,7,2097152,0,0,1370.944,1455.168,1603.552,148.384,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q8_rep1,2,4,2,sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,8,0,2097152,1,0,118.496,125.120,297.248,172.128,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q8_rep1,2,4,2,sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,8,1,2097152,1,0,341.152,348.320,502.560,154.240,PASS,0
PHASEB_formal_d1w_C0_DEFAULT_N512_q8_rep1,2,4,2,sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,512,2048,8,2,2097152,1,0,522.912,531.712,686.336,154.624,PASS,0
