path,cell,n,p50_us,p95_us
d0,N512,q2,400,1426.9,1434.9
d0,N512,q4,400,1426.6,1434.9
d0,N512,q8,400,1426.7,1435.8
d0,N2048,q2,400,4110.8,4122.4
d0,N2048,q4,400,4112.5,4124.2
d0,N2048,q8,400,4111.3,4122.4
d0,N4096,q2,400,7856.0,7866.1
d0,N4096,q4,400,7856.7,7866.7
d0,N4096,q8,400,7857.3,7869.4
d1,N512,q2,400,1530.4,1620.8
d1,N512,q4,400,1464.8,1541.5
d1,N512,q8,400,1646.0,1683.9
d1,N2048,q2,400,4450.7,4477.7
d1,N2048,q4,400,4407.3,4434.1
d1,N2048,q8,400,4475.0,4507.7
d1,N4096,q2,400,7976.1,8020.3
d1,N4096,q4,400,8182.5,8214.0
d1,N4096,q8,400,8352.0,8383.9
d1_vs_d0,N2048,q2,,8.3,
d1_vs_d0,N2048,q4,,7.2,
d1_vs_d0,N2048,q8,,8.8,
d1_vs_d0,N4096,q2,,1.5,
d1_vs_d0,N4096,q4,,4.1,
d1_vs_d0,N4096,q8,,6.3,
d1_vs_d0,N512,q2,,7.3,
d1_vs_d0,N512,q4,,2.7,
d1_vs_d0,N512,q8,,15.4,
