N,q,isolated_ranking_top3,isolated_winner_label,isolated_best_us,e2e_ranking_top3,e2e_winner_label,e2e_best_us,iso_winner_family,e2e_winner_family,substrate_reversal_flag,comm_C2_vs_C0_iso_pct,r1_C2_vs_C0_e2e_pct,rccl_config_flag
512,2,fc_fcollect_only_c0_default:441 < comm_only_c0_default:475 < comm_only_c2_ring_simple_ch8:568,fc_fcollect_only_c0_default,440.960,r1_event_overlap_c2_ring_simple_ch8:1378 < r1_event_overlap_c0_default:1379 < r0_full_serial_c0_default:1425,r1_event_overlap_c2_ring_simple_ch8,1378.016,DUSHMEM,RCCL,REVERSAL,-19.709,0.085,CONSISTENT
512,4,fc_fcollect_only_c0_default:441 < comm_only_c0_default:555 < dc_pushsig_only_c0_default:634,fc_fcollect_only_c0_default,441.024,r1_event_overlap_c0_default:1377 < r1_event_overlap_c2_ring_simple_ch8:1388 < r0_full_serial_c0_default:1425,r1_event_overlap_c0_default,1377.216,DUSHMEM,RCCL,REVERSAL,-21.990,-0.755,CONSISTENT
512,8,fc_fcollect_only_c0_default:441 < dc_pushsig_only_c0_default:728 < comm_only_c0_default:732,fc_fcollect_only_c0_default,440.992,r0_full_serial_c0_default:1425 < d0_fcollect_serial_c0_default:1426 < r1_event_overlap_c2_ring_simple_ch8:1589,r0_full_serial_c0_default,1425.088,DUSHMEM,RCCL,REVERSAL,-21.324,0.638,CONSISTENT
2048,2,fc_fcollect_only_c0_default:463 < comm_only_c0_default:500 < comm_only_c2_ring_simple_ch8:594,fc_fcollect_only_c0_default,462.896,d0_fcollect_serial_c0_default:4109 < r0_full_serial_c0_default:4113 < r1_event_overlap_c0_default:4390,d0_fcollect_serial_c0_default,4109.296,DUSHMEM,DUSHMEM,CONSISTENT,-18.773,-1.048,CONSISTENT
2048,4,fc_fcollect_only_c0_default:462 < comm_only_c0_default:581 < dc_pushsig_only_c0_default:666,fc_fcollect_only_c0_default,462.176,d0_fcollect_serial_c0_default:4112 < r0_full_serial_c0_default:4113 < r1_event_overlap_c0_default:4262,d0_fcollect_serial_c0_default,4112.240,DUSHMEM,DUSHMEM,CONSISTENT,-21.893,-0.923,CONSISTENT
2048,8,fc_fcollect_only_c0_default:462 < dc_pushsig_only_c0_default:750 < comm_only_c0_default:755,fc_fcollect_only_c0_default,462.416,d0_fcollect_serial_c0_default:4111 < r0_full_serial_c0_default:4112 < r1_event_overlap_c2_ring_simple_ch8:4429,d0_fcollect_serial_c0_default,4111.424,DUSHMEM,DUSHMEM,CONSISTENT,-21.925,0.533,CONSISTENT
2048,16,dc_pushsig_only_c0_default:1020 < comm_only_c0_default:1182 < comm_only_c2_ring_simple_ch8:1371,dc_pushsig_only_c0_default,1020.176,r1_event_overlap_c2_ring_simple_ch8:4825 < d1_pushsig_overlap_c0_default:4899 < r1_event_overlap_c0_default:4908,r1_event_overlap_c2_ring_simple_ch8,4825.488,DUSHMEM,RCCL,REVERSAL,-16.015,1.690,RCCL_CONFIG_REVERSAL
4096,2,fc_fcollect_only_c0_default:496 < comm_only_c0_default:534 < comm_only_c2_ring_simple_ch8:629,fc_fcollect_only_c0_default,496.064,d0_fcollect_serial_c0_default:7856 < r0_full_serial_c0_default:7856 < d1_pushsig_overlap_c0_default:7977,d0_fcollect_serial_c0_default,7855.792,DUSHMEM,DUSHMEM,CONSISTENT,-17.766,-0.660,CONSISTENT
4096,4,fc_fcollect_only_c0_default:497 < comm_only_c0_default:614 < dc_pushsig_only_c0_default:706,fc_fcollect_only_c0_default,496.544,r0_full_serial_c0_default:7854 < d0_fcollect_serial_c0_default:7857 < d1_pushsig_overlap_c0_default:8183,r0_full_serial_c0_default,7854.064,DUSHMEM,RCCL,REVERSAL,-20.690,-0.193,CONSISTENT
4096,8,fc_fcollect_only_c0_default:496 < dc_pushsig_only_c0_default:787 < comm_only_c0_default:791,fc_fcollect_only_c0_default,496.064,d0_fcollect_serial_c0_default:7857 < r0_full_serial_c0_default:7858 < d1_pushsig_overlap_c0_default:8352,d0_fcollect_serial_c0_default,7857.424,DUSHMEM,DUSHMEM,CONSISTENT,-20.233,2.140,RCCL_CONFIG_REVERSAL
4096,16,comm_only_c0_default:1210 < comm_only_c2_ring_simple_ch8:1402,comm_only_c0_default,1210.256,r1_event_overlap_c0_default:8620 < r1_event_overlap_c2_ring_simple_ch8:8674,r1_event_overlap_c0_default,8620.080,RCCL,RCCL,CONSISTENT,-15.818,-0.621,CONSISTENT
