case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_comm_C0_DEFAULT_N512_q2_rep1,COMM_ONLY,NCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,236.800,234.944,239.072,471.264,468.064,473.536,474.672,471.424,476.928,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,478.096,474.784,480.352
case002_comm_C0_DEFAULT_N512_q2_rep2,COMM_ONLY,NCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,236.640,234.656,240.000,471.248,467.424,474.784,474.688,470.784,478.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,478.208,474.112,481.632
case003_comm_C0_DEFAULT_N512_q2_rep3,COMM_ONLY,NCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,237.264,235.264,240.064,471.120,468.192,473.824,474.576,471.712,477.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,478.048,475.136,480.736
case004_comm_C0_DEFAULT_N512_q2_rep4,COMM_ONLY,NCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,236.800,234.432,239.840,470.784,467.168,474.400,474.272,470.560,477.728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,477.648,474.016,481.376
case005_comm_C0_DEFAULT_N512_q2_rep5,COMM_ONLY,NCCL,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,237.328,235.104,240.160,471.104,467.808,474.272,474.544,471.200,477.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,478.016,474.624,481.152
case006_comm_C2_RING_SIMPLE_CH8_N512_q2_rep1,COMM_ONLY,NCCL,C2_RING_SIMPLE_CH8,2048,512,2048,2,1,80,0,PASS,285.840,282.784,322.752,564.544,561.024,600.768,568.112,564.480,604.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,571.536,567.968,607.744
case007_comm_C2_RING_SIMPLE_CH8_N512_q2_rep2,COMM_ONLY,NCCL,C2_RING_SIMPLE_CH8,2048,512,2048,2,2,80,0,PASS,284.928,282.560,321.504,564.240,561.280,599.712,567.616,564.672,603.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,571.040,568.192,606.688
case008_comm_C2_RING_SIMPLE_CH8_N512_q2_rep3,COMM_ONLY,NCCL,C2_RING_SIMPLE_CH8,2048,512,2048,2,3,80,0,PASS,285.344,282.240,322.304,563.648,560.960,600.032,567.136,564.416,603.520,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,570.576,567.840,607.008
case009_comm_C2_RING_SIMPLE_CH8_N512_q2_rep4,COMM_ONLY,NCCL,C2_RING_SIMPLE_CH8,2048,512,2048,2,4,80,0,PASS,286.304,282.720,321.440,564.912,561.664,598.400,568.368,565.120,602.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,572.048,568.544,605.504
case010_comm_C2_RING_SIMPLE_CH8_N512_q2_rep5,COMM_ONLY,NCCL,C2_RING_SIMPLE_CH8,2048,512,2048,2,5,80,0,PASS,285.840,282.752,321.408,564.704,561.920,599.296,568.144,565.344,602.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,571.664,568.768,606.592
case011_gemm_C0_DEFAULT_N512_q2_rep1,GEMM_ONLY,NCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1088.544,1084.896,1089.856,7.328,7.104,7.776,1085.056,1081.440,1086.304,1077.888,1073.760,1079.008,1091.952,1088.384,1093.280
case012_gemm_C0_DEFAULT_N512_q2_rep2,GEMM_ONLY,NCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1088.704,1087.360,1089.952,7.392,7.104,7.744,1085.264,1083.744,1086.528,1078.064,1077.088,1079.264,1092.160,1090.816,1093.408
case013_gemm_C0_DEFAULT_N512_q2_rep3,GEMM_ONLY,NCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1088.048,1085.504,1089.280,7.296,7.072,7.552,1084.608,1082.080,1085.664,1077.552,1076.672,1078.624,1091.520,1088.928,1092.736
case014_gemm_C0_DEFAULT_N512_q2_rep4,GEMM_ONLY,NCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1088.096,1085.088,1089.792,7.328,7.072,7.616,1084.672,1081.664,1086.368,1077.760,1076.832,1079.200,1091.552,1088.544,1093.184
case015_gemm_C0_DEFAULT_N512_q2_rep5,GEMM_ONLY,NCCL,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1088.416,1085.472,1089.568,7.392,7.104,7.712,1084.896,1082.016,1086.112,1077.824,1076.960,1078.880,1091.856,1088.928,1093.024
case016_r0_C0_DEFAULT_N512_q2_rep1,R0_FULL_SERIAL,NCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,441.488,438.336,451.872,441.488,438.336,451.872,444.896,441.760,455.328,448.736,445.568,459.072,1421.552,1417.408,1429.120,974.048,973.280,974.784,1424.976,1420.832,1432.576
case017_r0_C0_DEFAULT_N512_q2_rep2,R0_FULL_SERIAL,NCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,441.824,438.848,446.016,441.824,438.848,446.016,445.200,442.176,449.440,449.120,445.984,453.376,1421.200,1417.984,1425.824,973.952,973.024,974.784,1424.832,1421.376,1429.280
case018_r0_C0_DEFAULT_N512_q2_rep3,R0_FULL_SERIAL,NCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,441.520,438.208,449.632,441.520,438.208,449.632,444.960,441.632,453.088,448.800,445.408,456.960,1421.632,1417.184,1429.792,974.064,973.184,974.784,1425.072,1420.608,1433.248
case019_r0_C0_DEFAULT_N512_q2_rep4,R0_FULL_SERIAL,NCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,441.680,437.760,446.784,441.680,437.760,446.784,445.120,441.248,450.464,448.912,444.960,454.272,1420.816,1416.448,1426.688,974.096,973.344,974.880,1424.256,1419.872,1430.112
case020_r0_C0_DEFAULT_N512_q2_rep5,R0_FULL_SERIAL,NCCL,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,441.216,438.112,447.456,441.216,438.112,447.456,444.640,441.536,450.880,448.544,445.440,454.656,1421.376,1417.056,1426.176,973.968,973.184,974.944,1424.816,1420.672,1429.600
case021_rs_C0_DEFAULT_N512_q2_rep1,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,242.608,239.424,254.784,1027.760,1022.112,1041.376,1031.216,1025.504,1044.704,248.768,245.440,261.824,1571.456,1565.504,1584.032,1324.016,1318.656,1333.152,1575.120,1568.864,1587.456
case022_rs_C0_DEFAULT_N512_q2_rep2,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,243.632,238.816,253.472,1030.640,1021.024,1041.120,1034.144,1024.448,1044.544,250.256,245.664,260.416,1573.712,1562.880,1586.016,1323.376,1318.944,1334.496,1577.232,1566.336,1589.408
case023_rs_C0_DEFAULT_N512_q2_rep3,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,244.304,238.880,253.088,1030.112,1021.824,1045.728,1033.440,1025.440,1049.408,249.808,244.800,259.968,1572.608,1564.096,1588.256,1324.544,1319.328,1336.512,1576.016,1567.520,1591.648
case024_rs_C0_DEFAULT_N512_q2_rep4,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,243.232,238.496,252.992,1028.656,1022.080,1038.080,1032.096,1025.536,1041.472,249.696,245.280,259.776,1571.552,1565.184,1582.656,1323.504,1319.296,1334.592,1574.896,1568.608,1586.080
