candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,512,2,COMM_ONLY,NCCL,5,474.576,478.048,471.120,477.648,478.208,3.472,3.472,0.189
C0_DEFAULT,512,2,D0_FCOLLECT_SERIAL,NVSHMEM,5,447.040,1426.432,443.504,1425.712,1430.192,979.392,979.392,1.600
C0_DEFAULT,512,2,D1W_WAITSTREAM_OVERLAP,NVSHMEM,5,989.984,1550.320,990.384,1546.096,1558.880,560.336,560.336,4.622
C0_DEFAULT,512,2,D1_PUSHSIG_OVERLAP,NVSHMEM,5,973.584,1531.184,973.072,1520.480,1533.856,557.600,557.600,4.758
C0_DEFAULT,512,2,DC_PUSHSIG_ONLY,NVSHMEM,5,599.312,602.448,598.992,597.104,606.432,3.136,3.136,3.325
C0_DEFAULT,512,2,DS_PUSHSIG_SERIAL,NVSHMEM,5,1161.360,1718.144,1161.072,1715.856,1721.424,556.784,556.784,2.075
C0_DEFAULT,512,2,FC_FCOLLECT_ONLY,NVSHMEM,5,440.960,448.224,444.768,448.208,448.960,7.264,7.264,0.314
C0_DEFAULT,512,2,GEMM_ONLY,NCCL,5,1088.416,1091.856,0.000,1091.520,1092.160,3.440,3.440,0.243
C0_DEFAULT,512,2,R0_FULL_SERIAL,NCCL,5,444.960,1424.832,441.520,1424.256,1425.072,979.872,979.872,0.283
C0_DEFAULT,512,2,R1_EVENT_OVERLAP,NCCL,5,490.368,1379.184,486.736,1378.832,1379.744,888.816,888.816,0.350
C0_DEFAULT,512,2,RS_SLICE_SERIAL,NCCL,5,1032.096,1575.120,1028.656,1574.400,1577.232,543.024,543.024,0.998
C0_DEFAULT,512,4,COMM_ONLY,NCCL,5,554.640,558.128,551.168,557.328,559.616,3.488,3.488,0.803
C0_DEFAULT,512,4,D0_FCOLLECT_SERIAL,NVSHMEM,5,447.088,1426.768,443.488,1426.192,1426.848,979.680,979.680,0.276
C0_DEFAULT,512,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,5,1220.768,1508.048,1221.408,1501.408,1514.688,287.280,287.280,4.224
C0_DEFAULT,512,4,D1_PUSHSIG_OVERLAP,NVSHMEM,5,1179.200,1465.696,1184.672,1457.200,1470.352,286.496,286.496,4.413
C0_DEFAULT,512,4,DC_PUSHSIG_ONLY,NVSHMEM,5,634.432,638.400,634.960,630.288,646.000,3.968,3.968,5.872
C0_DEFAULT,512,4,DS_PUSHSIG_SERIAL,NVSHMEM,5,1476.304,1756.656,1475.712,1749.824,1764.496,280.352,280.352,4.857
