candidate,N,q,r1_vs_rs_gain_pct,r1_vs_r0_gain_pct,r0_vs_rs_gain_pct,d1_vs_ds_gain_pct,d1_vs_d0_gain_pct,d0_vs_ds_gain_pct,r1_vs_d1_gain_pct,d1_vs_dc_done_stretch_pct,gemm_only_vs_r0_gemm_pct
C0_DEFAULT,512,2,12.439,3.204,9.541,10.882,-7.344,16.978,9.927,62.450,
C0_DEFAULT,512,4,17.010,3.367,14.118,16.563,-2.728,18.779,6.037,85.867,
C0_DEFAULT,512,8,22.780,-12.229,31.194,22.619,-15.390,32.939,2.834,49.469,
C0_DEFAULT,2048,2,3.468,-6.745,9.568,4.945,-8.311,12.239,1.359,261.730,
C0_DEFAULT,2048,4,9.267,-3.631,12.447,8.090,-7.189,14.254,3.304,102.242,
C0_DEFAULT,2048,8,9.494,-8.283,16.417,9.996,-8.811,17.284,0.466,280.450,
C0_DEFAULT,2048,16,14.474,,,14.213,,,-0.191,153.319,
C0_DEFAULT,4096,2,0.854,-1.860,2.664,2.502,-1.538,3.978,-0.322,512.779,
C0_DEFAULT,4096,4,2.473,-4.913,7.040,4.574,-4.153,8.379,-0.698,237.498,
C0_DEFAULT,4096,8,3.094,-9.007,11.101,6.036,-6.294,11.599,-2.553,454.514,
C0_DEFAULT,4096,16,,,,,,,,,
C2_RING_SIMPLE_CH8,512,2,,,,,,,,,
C2_RING_SIMPLE_CH8,512,4,,,,,,,,,
C2_RING_SIMPLE_CH8,512,8,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,2,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,4,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,8,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,16,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,2,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,4,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,8,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,16,,,,,,,,,
