candidate,N,q,isolated_winner_path,isolated_runner_up,isolated_gap_pct,e2e_winner_path,e2e_runner_up,e2e_gap_pct,isolated_winner_family,e2e_winner_family,isolated_best_us,e2e_best_us,reversal_flag,notes
C0_DEFAULT,512,2,FC_FCOLLECT_ONLY,COMM_ONLY,7.083,R1_EVENT_OVERLAP,R0_FULL_SERIAL,3.204,DUSHMEM,RCCL,440.960,1379.184,REVERSAL,
C0_DEFAULT,512,4,FC_FCOLLECT_ONLY,COMM_ONLY,20.485,R1_EVENT_OVERLAP,R0_FULL_SERIAL,3.367,DUSHMEM,RCCL,441.024,1377.216,REVERSAL,
C0_DEFAULT,512,8,FC_FCOLLECT_ONLY,DC_PUSHSIG_ONLY,39.383,R0_FULL_SERIAL,D0_FCOLLECT_SERIAL,0.098,DUSHMEM,RCCL,440.992,1425.088,REVERSAL,
C0_DEFAULT,2048,2,FC_FCOLLECT_ONLY,COMM_ONLY,7.492,D0_FCOLLECT_SERIAL,R0_FULL_SERIAL,0.087,DUSHMEM,DUSHMEM,462.896,4109.296,CONSISTENT,
C0_DEFAULT,2048,4,FC_FCOLLECT_ONLY,COMM_ONLY,20.433,D0_FCOLLECT_SERIAL,R0_FULL_SERIAL,0.015,DUSHMEM,DUSHMEM,462.176,4112.240,CONSISTENT,
C0_DEFAULT,2048,8,FC_FCOLLECT_ONLY,DC_PUSHSIG_ONLY,38.358,D0_FCOLLECT_SERIAL,R0_FULL_SERIAL,0.019,DUSHMEM,DUSHMEM,462.416,4111.424,CONSISTENT,
C0_DEFAULT,2048,16,DC_PUSHSIG_ONLY,COMM_ONLY,13.685,D1_PUSHSIG_OVERLAP,R1_EVENT_OVERLAP,0.191,DUSHMEM,DUSHMEM,1020.176,4899.072,CONSISTENT,
C0_DEFAULT,4096,2,FC_FCOLLECT_ONLY,COMM_ONLY,7.082,D0_FCOLLECT_SERIAL,R0_FULL_SERIAL,0.004,DUSHMEM,DUSHMEM,496.064,7855.792,CONSISTENT,
C0_DEFAULT,4096,4,FC_FCOLLECT_ONLY,COMM_ONLY,19.081,R0_FULL_SERIAL,D0_FCOLLECT_SERIAL,0.031,DUSHMEM,RCCL,496.544,7854.064,REVERSAL,
C0_DEFAULT,4096,8,FC_FCOLLECT_ONLY,DC_PUSHSIG_ONLY,36.947,D0_FCOLLECT_SERIAL,R0_FULL_SERIAL,0.001,DUSHMEM,DUSHMEM,496.064,7857.424,CONSISTENT,
C0_DEFAULT,4096,16,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1210.256,8620.080,CONSISTENT,
C2_RING_SIMPLE_CH8,512,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,568.112,1378.016,CONSISTENT,
C2_RING_SIMPLE_CH8,512,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,676.608,1387.616,CONSISTENT,
C2_RING_SIMPLE_CH8,512,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,888.224,1589.152,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,594.320,4436.320,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,708.032,4301.552,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,920.976,4429.104,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,16,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1371.200,4825.488,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,628.720,8055.073,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,740.592,8255.776,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,951.536,8381.951,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,16,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1401.696,8673.647,CONSISTENT,
