case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_comm_C0_DEFAULT_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case002_comm_C2_RING_SIMPLE_CH8_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case003_gemm_C0_DEFAULT_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case004_r0_C0_DEFAULT_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case005_rs_C0_DEFAULT_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case006_r1_C0_DEFAULT_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case007_r1_C2_RING_SIMPLE_CH8_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case008_fc_C0_DEFAULT_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case009_dc_C0_DEFAULT_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case010_d0_C0_DEFAULT_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case011_ds_C0_DEFAULT_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case012_d1_C0_DEFAULT_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
case013_d1w_C0_DEFAULT_N2048_q8_rep1,,,,,,,,1,0,,NO_DATA,,,,,,,,,,,,,,,,,,,,,
