run_id,rank,rank_count,device,device_name,gfx_arch,path,family,candidate,M,N,K,q,slice_bytes,warmup,window_mult,dush_quiet,iteration_index,t_issue_us,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,gemm_interval_us,e2e_us,gemm_tflops,correctness,max_abs_error,max_rel_error,mismatch_count,status
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,0,0,134.464,4400.704,4404.000,142.336,4904.416,4762.080,4907.776,14.431,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,1,0,142.304,4434.048,4437.312,150.528,4936.864,4786.336,4940.160,14.357,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,2,0,129.184,4382.336,4385.696,137.088,4885.856,4748.768,4889.216,14.471,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,3,0,145.152,4447.648,4450.976,152.704,4950.144,4797.440,4953.504,14.324,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,4,0,128.064,4385.280,4388.672,136.384,4889.120,4752.736,4892.672,14.459,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,5,0,150.368,4448.160,4451.456,157.888,4950.400,4792.512,4953.760,14.339,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,6,0,126.208,4399.104,4402.400,133.696,4902.912,4769.216,4906.208,14.409,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,7,0,150.272,4427.648,4431.072,158.400,4929.888,4771.488,4933.312,14.402,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,8,0,133.664,4387.552,4391.136,141.536,4891.552,4750.016,4894.880,14.467,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,9,0,150.368,4441.952,4445.280,157.888,4943.936,4786.048,4947.264,14.358,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,10,0,132.608,4383.520,4386.880,140.192,4887.232,4747.040,4890.592,14.476,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,11,0,149.632,4421.536,4425.184,157.536,4924.192,4766.656,4927.552,14.417,PASS,0.000,0.004,0,0
PHASEB_smoke_rs_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,12,0,134.688,4390.656,4393.952,142.240,4894.016,4751.776,4897.344,14.462,PASS,0.000,0.004,0,0
