run_id,rank,rank_count,device,device_name,gfx_arch,path,family,candidate,M,N,K,q,slice_bytes,warmup,window_mult,dush_quiet,iteration_index,t_issue_us,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,gemm_interval_us,e2e_us,gemm_tflops,correctness,max_abs_error,max_rel_error,mismatch_count,status
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,0,0,132.672,3474.592,3477.984,139.168,4450.112,4310.944,4453.696,15.941,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,1,0,137.664,3448.256,3451.840,144.544,4423.616,4279.072,4427.008,16.059,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,2,0,135.008,3489.728,3493.408,141.600,4467.264,4325.664,4470.752,15.886,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,3,0,125.728,3463.520,3466.848,132.416,4428.608,4296.192,4432.032,15.995,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,4,0,129.248,3476.576,3480.064,135.744,4451.040,4315.296,4454.400,15.925,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,5,0,134.080,3472.992,3476.352,141.056,4443.872,4302.816,4447.200,15.971,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,6,0,127.744,3424.320,3427.648,134.816,4402.368,4267.552,4405.696,16.103,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,7,0,134.976,3470.848,3474.144,141.536,4434.304,4292.768,4437.664,16.008,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,8,0,143.168,3512.704,3516.224,149.568,4439.264,4289.696,4442.592,16.020,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,9,0,124.512,3478.784,3482.144,130.944,4435.936,4304.992,4439.296,15.963,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,10,0,124.000,3454.432,3457.856,130.816,4432.416,4301.600,4435.776,15.975,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,11,0,132.512,3495.360,3498.752,139.712,4467.744,4328.032,4471.104,15.878,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,12,0,132.736,3457.792,3461.152,139.296,4437.216,4297.920,4440.640,15.989,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,13,0,133.952,3494.464,3497.856,140.576,4469.408,4328.832,4472.736,15.875,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,14,0,135.328,3446.080,3449.568,141.888,4422.880,4280.992,4426.240,16.052,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,15,0,127.648,3470.048,3473.440,134.144,4448.096,4313.952,4451.456,15.930,PASS,0.000,0.004,0,0
PHASEB_smoke_r1_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,16,0,130.976,3442.432,3445.696,137.440,4415.808,4278.368,4419.136,16.062,PASS,0.000,0.004,0,0
