run_id,rank_count,path,family,candidate,M,N,K,q,slice_bytes,iteration_index,t_release_first_max_us,t_release_last_max_us,t_done_max_us,gemm_first_start_max_us,gemm_last_end_max_us,gemm_interval_max_us,e2e_max_us,correctness_all_ranks,max_abs_error_max,max_rel_error_max,mismatch_count_sum,status
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,0,471.680,471.680,467.872,0.000,0.000,0.000,475.136,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,1,479.968,479.968,476.416,0.000,0.000,0.000,483.328,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,2,480.608,480.608,476.832,0.000,0.000,0.000,484.064,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,3,492.096,492.096,488.288,0.000,0.000,0.000,495.424,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,4,487.488,487.488,483.424,0.000,0.000,0.000,490.912,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,5,480.224,480.224,476.384,0.000,0.000,0.000,483.712,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,6,469.344,469.344,465.504,0.000,0.000,0.000,472.832,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,7,469.504,469.504,465.856,0.000,0.000,0.000,472.928,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,8,483.456,483.456,479.680,0.000,0.000,0.000,487.104,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,9,479.872,479.872,476.064,0.000,0.000,0.000,483.296,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,463.872,463.872,460.032,0.000,0.000,0.000,467.232,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,11,469.152,469.152,465.312,0.000,0.000,0.000,472.544,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,12,466.944,466.944,463.232,0.000,0.000,0.000,470.592,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,13,472.160,472.160,468.288,0.000,0.000,0.000,475.648,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,14,468.736,468.736,464.832,0.000,0.000,0.000,472.128,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,15,470.592,470.592,466.784,0.000,0.000,0.000,474.048,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,16,460.320,460.320,456.512,0.000,0.000,0.000,463.680,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,17,475.968,475.968,472.256,0.000,0.000,0.000,479.424,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,18,467.200,467.200,463.488,0.000,0.000,0.000,470.688,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,19,458.784,458.784,454.912,0.000,0.000,0.000,462.208,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,20,469.856,469.856,465.984,0.000,0.000,0.000,473.312,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,21,466.400,466.400,462.656,0.000,0.000,0.000,469.856,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,22,472.608,472.608,468.640,0.000,0.000,0.000,476.032,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,23,468.928,468.928,465.088,0.000,0.000,0.000,472.352,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,24,466.784,466.784,463.168,0.000,0.000,0.000,470.112,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,25,470.656,470.656,466.784,0.000,0.000,0.000,474.304,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,26,475.104,475.104,470.880,0.000,0.000,0.000,478.528,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,27,472.512,472.512,468.864,0.000,0.000,0.000,475.936,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,28,470.592,470.592,466.848,0.000,0.000,0.000,473.952,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,29,469.248,469.248,465.376,0.000,0.000,0.000,472.704,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,30,467.264,467.264,463.424,0.000,0.000,0.000,470.656,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,31,465.824,465.824,461.952,0.000,0.000,0.000,469.472,PASS,0.000,0.000,0,0
PHASEB_smoke_fc_C0_DEFAULT_N2048_q8_rep1,4,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,32,467.872,467.872,464.000,0.000,0.000,0.000,471.232,PASS,0.000,0.000,0,0
