run_id,rank,rank_count,device,device_name,gfx_arch,path,family,candidate,M,N,K,q,slice_bytes,warmup,window_mult,dush_quiet,iteration_index,t_issue_us,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,gemm_interval_us,e2e_us,gemm_tflops,correctness,max_abs_error,max_rel_error,mismatch_count,status
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,0,0,130.048,645.600,698.048,0.000,0.000,0.000,648.992,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,1,0,128.416,736.640,733.184,0.000,0.000,0.000,740.064,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,2,0,145.952,759.776,716.160,0.000,0.000,0.000,763.232,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,3,0,131.424,781.888,715.552,0.000,0.000,0.000,785.312,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,4,0,130.112,728.832,703.328,0.000,0.000,0.000,732.256,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,5,0,122.976,683.232,745.280,0.000,0.000,0.000,686.656,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,6,0,144.544,686.304,738.592,0.000,0.000,0.000,689.728,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,7,0,127.136,757.184,728.448,0.000,0.000,0.000,760.640,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,8,0,129.664,710.304,728.576,0.000,0.000,0.000,721.248,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,9,0,125.888,762.496,804.768,0.000,0.000,0.000,767.616,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,10,0,125.952,768.384,759.712,0.000,0.000,0.000,771.808,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,11,0,127.808,724.640,752.480,0.000,0.000,0.000,728.000,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,12,0,148.128,707.584,716.288,0.000,0.000,0.000,711.040,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,13,0,127.424,735.968,780.000,0.000,0.000,0.000,742.400,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,14,0,126.496,769.440,742.176,0.000,0.000,0.000,772.864,0.000,PASS,0.000,0.000,0,0
PHASEB_smoke_dc_C0_DEFAULT_N2048_q8_rep1,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,15,0,132.672,702.272,746.976,0.000,0.000,0.000,705.632,0.000,PASS,0.000,0.000,0,0
