run_id,rank,rank_count,device,device_name,gfx_arch,path,family,candidate,M,N,K,q,slice_bytes,warmup,window_mult,dush_quiet,iteration_index,t_issue_us,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,gemm_interval_us,e2e_us,gemm_tflops,correctness,max_abs_error,max_rel_error,mismatch_count,status
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,0,0,140.544,3421.344,3393.024,153.792,4393.088,4239.296,4411.104,16.210,PASS,0.000,0.004,0,0
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,1,0,157.696,3356.896,2908.256,170.400,4483.584,4313.184,4501.216,15.932,PASS,0.000,0.004,0,0
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,2,0,150.752,3290.240,2458.048,162.624,4407.936,4245.312,4426.240,16.187,PASS,0.000,0.004,0,0
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,3,0,133.696,3358.624,2396.320,147.936,4473.536,4325.600,4490.592,15.887,PASS,0.000,0.004,0,0
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,4,0,155.680,3350.720,2882.784,167.744,4471.200,4303.456,4489.472,15.968,PASS,0.000,0.004,0,0
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,5,0,146.048,3922.752,2984.960,157.120,4505.024,4347.904,4522.400,15.805,PASS,0.000,0.004,0,0
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,6,0,151.744,2890.304,2431.040,160.576,4408.288,4247.712,4426.688,16.178,PASS,0.000,0.004,0,0
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,7,0,178.144,3890.336,2374.592,188.832,4481.984,4293.152,4499.040,16.007,PASS,0.000,0.004,0,0
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,8,0,148.544,2871.200,2881.568,157.760,4431.168,4273.408,4450.528,16.081,PASS,0.000,0.004,0,0
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,9,0,142.976,3937.472,3461.088,148.928,4483.712,4334.784,4501.056,15.853,PASS,0.000,0.004,0,0
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,10,0,153.632,3414.688,3469.056,163.296,4490.144,4326.848,4508.736,15.882,PASS,0.000,0.004,0,0
PHASEB_smoke_d1w_C0_DEFAULT_N2048_q8_rep1,1,4,1,"NVIDIA A800-SXM4-80GB",sm_89,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2097152,10,1,0,11,0,150.848,3387.456,2430.656,156.960,4449.216,4292.256,4466.368,16.010,PASS,0.000,0.004,0,0
