candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,2048,8,COMM_ONLY,NCCL,1,754.240,757.600,750.848,757.600,757.600,3.360,3.360,0.000
C0_DEFAULT,2048,8,D0_FCOLLECT_SERIAL,NVSHMEM,1,465.904,4115.712,462.464,4115.712,4115.712,3649.808,3649.808,0.000
C0_DEFAULT,2048,8,D1W_WAITSTREAM_OVERLAP,NVSHMEM,1,3443.328,4521.040,3448.144,4521.040,4521.040,1077.712,1077.712,0.000
C0_DEFAULT,2048,8,D1_PUSHSIG_OVERLAP,NVSHMEM,1,2895.264,4475.184,3956.592,4475.184,4475.184,1579.920,1579.920,0.000
C0_DEFAULT,2048,8,DC_PUSHSIG_ONLY,NVSHMEM,1,748.064,752.448,749.008,752.448,752.448,4.384,4.384,0.000
C0_DEFAULT,2048,8,DS_PUSHSIG_SERIAL,NVSHMEM,1,4447.152,4969.232,4450.064,4969.232,4969.232,522.080,522.080,0.000
C0_DEFAULT,2048,8,FC_FCOLLECT_ONLY,NVSHMEM,1,465.344,472.624,469.200,472.624,472.624,7.280,7.280,0.000
C0_DEFAULT,2048,8,GEMM_ONLY,NCCL,1,4055.104,4058.528,0.000,4058.528,4058.528,3.424,3.424,0.000
C0_DEFAULT,2048,8,R0_FULL_SERIAL,NCCL,1,467.216,4115.888,463.728,4115.888,4115.888,3648.672,3648.672,0.000
C0_DEFAULT,2048,8,R1_EVENT_OVERLAP,NCCL,1,3476.368,4455.840,3472.880,4455.840,4455.840,979.472,979.472,0.000
C0_DEFAULT,2048,8,RS_SLICE_SERIAL,NCCL,1,4417.920,4922.912,4414.464,4922.912,4922.912,504.992,504.992,0.000
C2_RING_SIMPLE_CH8,2048,8,COMM_ONLY,NCCL,1,916.352,919.952,912.864,919.952,919.952,3.600,3.600,0.000
C2_RING_SIMPLE_CH8,2048,8,R1_EVENT_OVERLAP,NCCL,1,3465.232,4426.672,3461.696,4426.672,4426.672,961.440,961.440,0.000
