run_id,cell,path,rep,exit_code,case_dir
lr_d0_N2048_q8_rep1,N2048/q8,d0,1,0,results/locked_rerun_20260903T013721Z/lr_d0_N2048_q8_rep1
lr_d0_N2048_q8_rep2,N2048/q8,d0,2,0,results/locked_rerun_20260903T013721Z/lr_d0_N2048_q8_rep2
lr_d0_N2048_q8_rep3,N2048/q8,d0,3,0,results/locked_rerun_20260903T013721Z/lr_d0_N2048_q8_rep3
lr_d0_N2048_q8_rep4,N2048/q8,d0,4,0,results/locked_rerun_20260903T013721Z/lr_d0_N2048_q8_rep4
lr_d0_N2048_q8_rep5,N2048/q8,d0,5,0,results/locked_rerun_20260903T013721Z/lr_d0_N2048_q8_rep5
lr_d1_N2048_q8_rep1,N2048/q8,d1,1,0,results/locked_rerun_20260903T013721Z/lr_d1_N2048_q8_rep1
lr_d1_N2048_q8_rep2,N2048/q8,d1,2,0,results/locked_rerun_20260903T013721Z/lr_d1_N2048_q8_rep2
lr_d1_N2048_q8_rep3,N2048/q8,d1,3,0,results/locked_rerun_20260903T013721Z/lr_d1_N2048_q8_rep3
lr_d1_N2048_q8_rep4,N2048/q8,d1,4,0,results/locked_rerun_20260903T013721Z/lr_d1_N2048_q8_rep4
lr_d1_N2048_q8_rep5,N2048/q8,d1,5,0,results/locked_rerun_20260903T013721Z/lr_d1_N2048_q8_rep5
lr_d0_N4096_q8_rep1,N4096/q8,d0,1,0,results/locked_rerun_20260903T013721Z/lr_d0_N4096_q8_rep1
lr_d0_N4096_q8_rep2,N4096/q8,d0,2,0,results/locked_rerun_20260903T013721Z/lr_d0_N4096_q8_rep2
lr_d0_N4096_q8_rep3,N4096/q8,d0,3,0,results/locked_rerun_20260903T013721Z/lr_d0_N4096_q8_rep3
lr_d0_N4096_q8_rep4,N4096/q8,d0,4,0,results/locked_rerun_20260903T013721Z/lr_d0_N4096_q8_rep4
lr_d0_N4096_q8_rep5,N4096/q8,d0,5,0,results/locked_rerun_20260903T013721Z/lr_d0_N4096_q8_rep5
lr_d1_N4096_q8_rep1,N4096/q8,d1,1,0,results/locked_rerun_20260903T013721Z/lr_d1_N4096_q8_rep1
lr_d1_N4096_q8_rep2,N4096/q8,d1,2,0,results/locked_rerun_20260903T013721Z/lr_d1_N4096_q8_rep2
lr_d1_N4096_q8_rep3,N4096/q8,d1,3,0,results/locked_rerun_20260903T013721Z/lr_d1_N4096_q8_rep3
lr_d1_N4096_q8_rep4,N4096/q8,d1,4,0,results/locked_rerun_20260903T013721Z/lr_d1_N4096_q8_rep4
lr_d1_N4096_q8_rep5,N4096/q8,d1,5,0,results/locked_rerun_20260903T013721Z/lr_d1_N4096_q8_rep5
