run_id,rank_count,path,family,candidate,M,N,K,q,slice_bytes,iteration_index,t_release_first_max_us,t_release_last_max_us,t_done_max_us,gemm_first_start_max_us,gemm_last_end_max_us,gemm_interval_max_us,e2e_max_us,correctness_all_ranks,max_abs_error_max,max_rel_error_max,mismatch_count_sum,status
mh_comm_C0_DEFAULT_N2048_q8_rep2,4,COMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,0,119.648,778.944,782.272,0.000,0.000,0.000,785.632,PASS,0.000,0.000,0,0
mh_comm_C0_DEFAULT_N2048_q8_rep2,4,COMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,1,121.856,748.800,752.288,0.000,0.000,0.000,755.680,PASS,0.000,0.000,0,0
mh_comm_C0_DEFAULT_N2048_q8_rep2,4,COMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,2,122.016,762.688,766.496,0.000,0.000,0.000,769.920,PASS,0.000,0.000,0,0
mh_comm_C0_DEFAULT_N2048_q8_rep2,4,COMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,3,138.336,763.136,766.592,0.000,0.000,0.000,769.984,PASS,0.000,0.000,0,0
mh_comm_C0_DEFAULT_N2048_q8_rep2,4,COMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,4,121.472,750.144,753.568,0.000,0.000,0.000,756.992,PASS,0.000,0.000,0,0
mh_comm_C0_DEFAULT_N2048_q8_rep2,4,COMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,5,121.728,750.304,753.728,0.000,0.000,0.000,757.152,PASS,0.000,0.000,0,0
mh_comm_C0_DEFAULT_N2048_q8_rep2,4,COMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,6,122.368,748.672,752.096,0.000,0.000,0.000,755.520,PASS,0.000,0.000,0,0
mh_comm_C0_DEFAULT_N2048_q8_rep2,4,COMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,7,121.408,750.752,754.112,0.000,0.000,0.000,757.472,PASS,0.000,0.000,0,0
mh_comm_C0_DEFAULT_N2048_q8_rep2,4,COMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,8,120.800,748.192,751.616,0.000,0.000,0.000,755.072,PASS,0.000,0.000,0,0
mh_comm_C0_DEFAULT_N2048_q8_rep2,4,COMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,9,121.120,746.112,749.696,0.000,0.000,0.000,753.152,PASS,0.000,0.000,0,0
