run_id,rank,rank_count,device,gfx_arch,path,family,candidate,M,N,K,q,slice_index,slice_bytes,iteration_index,t_issue_us,t_release_us,t_gemm_start_us,t_gemm_end_us,t_gemm_duration_us,correctness,status
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,0,2097152,0,0,175.200,181.856,684.128,502.272,PASS,0
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,1,2097152,0,0,724.608,728.768,1236.544,507.776,PASS,0
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2,2097152,0,0,1280.896,1285.696,1786.112,500.416,PASS,0
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,3,2097152,0,0,1827.872,1833.024,2333.760,500.736,PASS,0
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,4,2097152,0,0,2363.712,2367.040,2862.560,495.520,PASS,0
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,5,2097152,0,0,2887.648,2891.008,3386.880,495.872,PASS,0
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,6,2097152,0,0,3411.840,3415.200,3910.240,495.040,PASS,0
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,7,2097152,0,0,3935.808,3939.136,4434.752,495.616,PASS,0
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,0,2097152,1,0,149.536,160.608,664.224,503.616,PASS,0
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,1,2097152,1,0,704.672,716.576,1225.216,508.640,PASS,0
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,2,2097152,1,0,1265.184,1270.272,1770.432,500.160,PASS,0
mh_d1_C0_DEFAULT_N2048_q8_rep3,1,4,1,sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,3,2097152,1,0,1811.424,1814.912,2316.384,501.472,PASS,0
