run_id,rank,rank_count,device,gfx_arch,path,family,candidate,M,N,K,q,slice_index,slice_bytes,iteration_index,t_issue_us,t_release_us,t_gemm_start_us,t_gemm_end_us,t_gemm_duration_us,correctness,status
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,0,2097152,0,0,111.904,116.352,319.232,202.880,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,1,2097152,0,0,207.168,322.784,511.264,188.480,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,2,2097152,0,0,351.680,514.912,682.624,167.712,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,3,2097152,0,0,529.472,686.464,878.624,192.160,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,4,2097152,0,0,739.712,882.112,1076.800,194.688,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,5,2097152,0,0,929.696,1082.432,1268.352,185.920,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,6,2097152,0,0,1101.024,1272.320,1443.520,171.200,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,7,2097152,0,0,1316.864,1446.944,1595.360,148.416,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,0,2097152,1,0,115.616,120.416,329.632,209.216,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,1,2097152,1,0,227.040,333.216,523.168,189.952,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,2,2097152,1,0,350.656,526.592,716.000,189.408,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,3,2097152,1,0,561.088,719.488,909.088,189.600,PASS,0
mh_r1_C0_DEFAULT_N512_q8_rep3,3,4,3,sm_89,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,512,2048,8,4,2097152,1,0,752.672,913.216,1104.224,191.008,PASS,0
