run_id,rank_count,path,family,candidate,M,N,K,q,slice_bytes,iteration_index,t_release_first_max_us,t_release_last_max_us,t_done_max_us,gemm_first_start_max_us,gemm_last_end_max_us,gemm_interval_max_us,e2e_max_us,correctness_all_ranks,max_abs_error_max,max_rel_error_max,mismatch_count_sum,status
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,0,135.488,3472.800,3476.256,141.824,4446.592,4308.384,4450.016,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,1,147.456,3472.960,3476.416,153.696,4458.560,4309.376,4462.080,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,2,137.984,3459.392,3462.720,144.512,4441.024,4298.016,4444.448,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,3,136.768,3462.144,3465.472,143.296,4441.184,4300.288,4444.608,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,4,136.512,3483.136,3486.560,143.552,4465.888,4323.392,4469.312,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,5,143.264,3492.864,3496.288,149.856,4474.368,4324.928,4477.792,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,6,132.256,3445.632,3449.088,139.232,4423.296,4288.064,4426.752,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,7,143.648,3484.864,3488.352,150.208,4470.496,4322.272,4473.920,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,8,132.960,3442.496,3445.856,140.256,4427.200,4292.544,4430.656,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,9,130.976,3501.824,3505.216,137.120,4487.616,4353.536,4491.040,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,10,134.400,3446.592,3450.048,140.672,4429.952,4290.912,4433.376,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,11,132.608,3466.240,3469.664,139.168,4450.080,4314.208,4453.472,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,12,135.264,3479.744,3483.456,142.240,4462.560,4324.672,4465.984,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,13,131.552,3470.144,3473.600,138.048,4448.288,4312.416,4451.680,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,14,130.080,3457.184,3460.608,136.832,4442.016,4305.184,4445.376,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,15,136.928,3476.352,3479.776,143.840,4456.992,4313.152,4460.416,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,16,137.600,3463.936,3467.264,144.064,4441.312,4301.792,4444.736,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,17,129.632,3470.720,3474.144,136.800,4453.504,4317.760,4456.896,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,18,140.448,3475.360,3478.720,147.008,4450.496,4306.432,4453.888,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,19,129.376,3450.400,3453.856,136.448,4432.544,4296.096,4435.968,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,20,131.840,3485.600,3489.312,138.656,4463.936,4325.312,4467.360,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,21,129.696,3444.800,3448.224,136.000,4427.776,4294.304,4431.200,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,22,136.288,3458.720,3462.496,142.816,4444.192,4308.000,4447.616,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,23,144.320,3471.456,3474.880,151.328,4449.696,4300.928,4453.088,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,24,130.880,3452.992,3456.448,137.472,4435.072,4298.464,4438.656,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,25,130.048,3484.864,3488.320,136.704,4467.104,4333.920,4470.560,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,26,142.144,3478.176,3481.632,148.416,4458.016,4309.600,4461.440,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,27,137.440,3470.048,3473.664,144.096,4456.448,4312.384,4460.064,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,28,134.112,3506.944,3510.400,140.544,4491.360,4352.672,4494.784,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,29,135.552,3487.968,3491.488,141.760,4471.712,4333.888,4475.136,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,30,124.096,3456.992,3460.416,130.176,4435.360,4306.208,4439.072,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,31,139.360,3483.424,3486.848,145.792,4465.440,4319.648,4468.864,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,32,136.800,3452.608,3456.064,143.456,4430.464,4289.600,4433.856,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,33,136.928,3451.296,3454.592,143.680,4430.688,4287.584,4434.144,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,34,134.464,3480.032,3483.488,140.928,4460.096,4319.840,4463.520,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,35,135.168,3479.040,3482.496,142.368,4460.992,4322.016,4464.352,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,36,132.256,3471.424,3475.136,139.392,4448.544,4312.928,4452.000,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,37,133.344,3459.744,3463.136,139.744,4438.912,4299.520,4442.528,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,38,133.408,3460.160,3463.616,139.936,4442.784,4303.296,4446.240,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,39,134.816,3478.656,3482.016,141.056,4463.200,4327.264,4466.560,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,40,130.880,3450.144,3453.536,137.696,4423.840,4286.144,4427.456,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,41,140.864,3455.232,3458.752,147.200,4432.832,4288.064,4436.320,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,42,141.952,3474.016,3477.536,148.480,4450.400,4303.328,4454.048,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,43,132.640,3473.888,3477.312,139.104,4454.592,4315.488,4458.016,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,44,125.920,3475.360,3478.976,132.480,4454.144,4324.832,4457.536,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,45,135.648,3465.408,3468.800,142.080,4443.328,4303.040,4447.104,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,46,141.504,3436.416,3439.776,148.384,4415.680,4269.696,4419.104,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,47,126.496,3463.680,3467.104,132.704,4443.904,4312.160,4447.328,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,48,135.424,3474.272,3477.632,141.760,4452.032,4315.520,4455.360,PASS,0.000,0.004,0,0
mh_r1_C0_DEFAULT_N2048_q8_rep5,4,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,2097152,49,130.144,3474.176,3477.600,136.800,4448.160,4311.360,4451.584,PASS,0.000,0.004,0,0
