run_id,rank,rank_count,device,device_name,gfx_arch,path,family,candidate,M,N,K,q,slice_bytes,warmup,window_mult,dush_quiet,iteration_index,t_issue_us,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,gemm_interval_us,e2e_us,gemm_tflops,correctness,max_abs_error,max_rel_error,mismatch_count,status
p19_d0_N12288_q8_rep2,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,D0_FCOLLECT_SERIAL,NVSHMEM,C0_DEFAULT,2048,12288,2048,8,2097152,20,1,0,0,0,620.288,620.288,623.936,629.184,22185.951,21556.768,22189.600,19.127,PASS,0.000,0.000,0,0
p19_d0_N12288_q8_rep2,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,D0_FCOLLECT_SERIAL,NVSHMEM,C0_DEFAULT,2048,12288,2048,8,2097152,20,1,0,1,0,629.632,629.632,633.216,638.496,22354.719,21716.225,22358.367,18.987,PASS,0.000,0.000,0,0
p19_d0_N12288_q8_rep2,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,D0_FCOLLECT_SERIAL,NVSHMEM,C0_DEFAULT,2048,12288,2048,8,2097152,20,1,0,2,0,620.320,620.320,623.904,629.312,22361.695,21732.383,22365.312,18.972,PASS,0.000,0.000,0,0
p19_d0_N12288_q8_rep2,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,D0_FCOLLECT_SERIAL,NVSHMEM,C0_DEFAULT,2048,12288,2048,8,2097152,20,1,0,3,0,624.704,624.704,628.352,633.632,22373.152,21739.520,22376.801,18.966,PASS,0.000,0.000,0,0
p19_d0_N12288_q8_rep2,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,D0_FCOLLECT_SERIAL,NVSHMEM,C0_DEFAULT,2048,12288,2048,8,2097152,20,1,0,4,0,625.376,625.376,629.024,634.272,22372.191,21737.920,22375.840,18.968,PASS,0.000,0.000,0,0
p19_d0_N12288_q8_rep2,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,D0_FCOLLECT_SERIAL,NVSHMEM,C0_DEFAULT,2048,12288,2048,8,2097152,20,1,0,5,0,620.480,620.480,624.096,629.728,22367.617,21737.889,22371.297,18.968,PASS,0.000,0.000,0,0
p19_d0_N12288_q8_rep2,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,D0_FCOLLECT_SERIAL,NVSHMEM,C0_DEFAULT,2048,12288,2048,8,2097152,20,1,0,6,0,623.488,623.488,627.136,632.384,22368.223,21735.840,22371.840,18.969,PASS,0.000,0.000,0,0
p19_d0_N12288_q8_rep2,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,D0_FCOLLECT_SERIAL,NVSHMEM,C0_DEFAULT,2048,12288,2048,8,2097152,20,1,0,7,0,620.480,620.480,624.096,629.376,22363.328,21733.951,22366.977,18.971,PASS,0.000,0.000,0,0
p19_d0_N12288_q8_rep2,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,D0_FCOLLECT_SERIAL,NVSHMEM,C0_DEFAULT,2048,12288,2048,8,2097152,20,1,0,8,0,627.680,627.680,631.264,636.480,22372.992,21736.512,22376.641,18.969,PASS,0.000,0.000,0,0
p19_d0_N12288_q8_rep2,2,4,2,"NVIDIA A800-SXM4-80GB",sm_89,D0_FCOLLECT_SERIAL,NVSHMEM,C0_DEFAULT,2048,12288,2048,8,2097152,20,1,0,9,0,615.552,615.552,619.104,624.352,22369.568,21745.217,22373.535,18.961,PASS,0.000,0.000,0,0
