run_id,rank_count,path,family,candidate,M,N,K,q,slice_bytes,iteration_index,t_release_first_max_us,t_release_last_max_us,t_done_max_us,gemm_first_start_max_us,gemm_last_end_max_us,gemm_interval_max_us,e2e_max_us,correctness_all_ranks,max_abs_error_max,max_rel_error_max,mismatch_count_sum,status
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,0,409.696,30162.238,8048.736,413.312,32113.793,31700.480,32131.744,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,1,405.440,30149.760,8199.456,409.056,32103.711,31694.656,32122.719,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,2,407.040,29969.279,8172.928,411.520,31910.721,31503.520,31929.566,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,3,403.392,29989.984,8099.295,406.976,31926.465,31519.488,31948.033,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,4,403.296,29996.129,8093.024,406.848,31932.768,31525.920,31950.398,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,5,407.040,29994.305,8099.744,410.624,31933.121,31536.863,31952.127,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,6,400.192,29967.137,8135.104,403.744,31902.303,31498.561,31919.744,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,7,405.632,29991.680,8247.809,409.248,31930.592,31524.352,31949.633,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,8,404.416,29988.352,8058.752,408.000,31925.504,31517.504,31943.168,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,9,402.592,29973.473,8225.855,406.240,31912.865,31525.057,31931.615,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,10,404.160,29987.008,8095.648,407.712,31921.760,31514.047,31940.129,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,11,400.352,29978.912,8243.392,403.904,31919.744,31515.840,31938.496,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,12,397.152,29965.631,8096.769,400.736,31901.279,31500.543,31919.617,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,13,405.216,29952.896,8128.161,409.120,31890.848,31495.359,31911.199,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,14,408.672,30010.879,8225.504,412.224,31947.646,31546.400,31965.441,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,15,401.312,29985.504,8253.984,404.896,31922.912,31524.896,31941.889,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,16,401.984,29978.432,8121.185,405.536,31912.225,31513.150,31930.143,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,17,393.920,29941.889,8128.768,397.440,31879.232,31486.656,31898.238,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,18,400.096,29988.064,8166.560,403.648,31924.576,31530.176,31942.527,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,19,411.104,30006.848,8211.039,416.736,31942.305,31525.568,31961.023,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,20,402.400,29982.463,8214.049,406.176,31921.023,31533.023,31938.783,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,21,406.656,29997.889,8100.000,411.008,31936.576,31531.648,31955.584,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,22,400.096,29982.977,8160.736,403.680,31918.207,31514.527,31935.904,PASS,0.000,0.000,0,0
p19_d1_N16384_q16_rep1,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,16384,2048,16,1048576,23,396.512,30005.377,8095.424,400.320,31942.367,31542.047,31961.121,PASS,0.000,0.000,0,0
