order,N,q,path,rep,run_id
1,16384,8,d1,4,p19_d1_N16384_q8_rep4
2,16384,8,d0,5,p19_d0_N16384_q8_rep5
3,12288,8,d1,5,p19_d1_N12288_q8_rep5
4,16384,16,d1,5,p19_d1_N16384_q16_rep5
5,32768,16,d1,4,p19_d1_N32768_q16_rep4
6,16384,8,d1,5,p19_d1_N16384_q8_rep5
7,16384,16,d1,4,p19_d1_N16384_q16_rep4
8,16384,8,d0,4,p19_d0_N16384_q8_rep4
9,12288,8,d1,2,p19_d1_N12288_q8_rep2
10,12288,8,d0,4,p19_d0_N12288_q8_rep4
11,32768,16,d0,1,p19_d0_N32768_q16_rep1
12,16384,8,d0,1,p19_d0_N16384_q8_rep1
13,16384,16,d0,1,p19_d0_N16384_q16_rep1
14,16384,16,d0,3,p19_d0_N16384_q16_rep3
15,12288,8,d1,1,p19_d1_N12288_q8_rep1
16,12288,8,d0,3,p19_d0_N12288_q8_rep3
17,12288,8,d0,5,p19_d0_N12288_q8_rep5
18,12288,8,d0,2,p19_d0_N12288_q8_rep2
19,16384,16,d1,2,p19_d1_N16384_q16_rep2
20,32768,16,d1,2,p19_d1_N32768_q16_rep2
21,32768,16,d1,5,p19_d1_N32768_q16_rep5
22,16384,16,d1,3,p19_d1_N16384_q16_rep3
23,16384,8,d1,2,p19_d1_N16384_q8_rep2
24,32768,16,d0,4,p19_d0_N32768_q16_rep4
25,16384,16,d0,4,p19_d0_N16384_q16_rep4
26,16384,8,d0,2,p19_d0_N16384_q8_rep2
27,16384,16,d0,2,p19_d0_N16384_q16_rep2
28,32768,16,d1,1,p19_d1_N32768_q16_rep1
29,32768,16,d1,3,p19_d1_N32768_q16_rep3
30,16384,16,d0,5,p19_d0_N16384_q16_rep5
31,12288,8,d0,1,p19_d0_N12288_q8_rep1
32,12288,8,d1,4,p19_d1_N12288_q8_rep4
33,32768,16,d0,2,p19_d0_N32768_q16_rep2
34,32768,16,d0,5,p19_d0_N32768_q16_rep5
35,16384,8,d1,1,p19_d1_N16384_q8_rep1
36,32768,16,d0,3,p19_d0_N32768_q16_rep3
37,16384,8,d1,3,p19_d1_N16384_q8_rep3
38,16384,16,d1,1,p19_d1_N16384_q16_rep1
39,16384,8,d0,3,p19_d0_N16384_q8_rep3
40,12288,8,d1,3,p19_d1_N12288_q8_rep3
