run_id,rank_count,path,family,candidate,M,N,K,q,slice_bytes,iteration_index,t_release_first_max_us,t_release_last_max_us,t_done_max_us,gemm_first_start_max_us,gemm_last_end_max_us,gemm_interval_max_us,e2e_max_us,correctness_all_ranks,max_abs_error_max,max_rel_error_max,mismatch_count_sum,status
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,0,222.816,8361.057,7859.712,226.304,8851.040,8697.152,8868.992,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,1,265.888,8455.712,7935.744,270.240,8946.048,8700.800,8964.480,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,2,247.904,8460.832,8461.056,252.192,8951.841,8701.473,8969.536,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,3,249.536,8479.584,8477.344,253.824,8969.600,8736.319,8987.744,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,4,239.008,8429.057,7925.984,242.496,8918.752,8686.560,8936.000,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,5,247.104,8394.816,7893.120,253.056,8884.991,8638.528,8903.584,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,6,254.432,8431.168,8415.616,259.552,8920.960,8675.936,8938.240,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,7,248.320,8372.800,7848.608,254.560,8862.943,8653.760,8881.088,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,8,274.304,8409.729,7907.648,278.432,8900.032,8621.601,8917.951,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,9,232.096,8404.000,7850.720,238.464,8894.080,8661.376,8912.416,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,10,248.832,8463.487,7941.408,252.736,8954.016,8715.296,8971.264,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,11,272.928,8468.384,8469.056,276.384,8958.017,8686.528,8976.416,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,12,235.776,8480.800,7980.608,239.968,8971.809,8747.680,8989.119,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,13,252.992,8389.376,7880.288,257.472,8879.712,8668.544,8898.400,PASS,0.000,0.019,0,0
wm_S5_d1_q16m1_rep2,4,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,16,4194304,14,260.960,8475.647,7974.496,264.480,8965.728,8702.943,8982.815,PASS,0.000,0.019,0,0
