run_id,rank,rank_count,device,device_name,gfx_arch,path,family,candidate,M,N,K,q,slice_bytes,warmup,window_mult,dush_quiet,iteration_index,t_issue_us,t_release_first_us,t_release_last_us,t_done_us,gemm_first_start_us,gemm_last_end_us,gemm_interval_us,e2e_us,gemm_tflops,correctness,max_abs_error,max_rel_error,mismatch_count,status
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,0,0,707.328,6992.288,4824.672,710.816,9027.008,8316.191,9044.512,16.527,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,1,0,661.472,6954.208,3214.848,667.296,8963.904,8296.608,8982.880,16.566,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,2,0,686.048,6949.056,3131.968,690.912,8954.464,8263.552,8971.712,16.632,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,3,0,666.080,6958.976,4814.912,669.504,8967.552,8298.048,8985.920,16.563,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,4,0,682.208,6950.432,3132.512,688.000,8957.729,8269.728,8975.008,16.620,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,5,0,658.080,6935.680,3173.248,663.840,8944.353,8280.512,8962.848,16.598,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,6,0,695.264,6963.328,3111.872,700.768,8972.031,8271.264,8989.536,16.616,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,7,0,665.984,6947.808,3239.040,671.520,8957.152,8285.632,8975.487,16.588,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,8,0,686.144,6930.240,3115.776,692.416,8939.968,8247.552,8957.440,16.664,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,9,0,668.480,6951.520,3152.384,674.496,8962.112,8287.616,8981.120,16.584,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,10,0,673.280,6947.008,4817.376,676.736,8955.008,8278.271,8972.544,16.602,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,11,0,669.856,6912.320,3129.408,674.848,8921.056,8246.208,8939.616,16.667,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,12,0,693.728,6988.512,4846.016,697.152,8996.128,8298.976,9013.568,16.561,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,13,0,646.336,6905.728,3091.232,652.288,8913.439,8261.152,8932.000,16.637,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,14,0,672.640,6953.536,4828.480,676.096,8962.271,8286.176,8979.553,16.587,PASS,0.000,0.000,0,0
wm_S5_d1_q4m1_rep3,3,4,3,"NVIDIA A800-SXM4-80GB",sm_89,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,4096,1024,4096,4,16777216,20,1,0,15,0,672.832,6942.848,3118.176,679.040,8947.872,8268.832,8966.432,16.621,PASS,0.000,0.000,0,0
