shape,q,window,rep,iteration,t_release_first_us,e2e_us,t_done_us
S7,8,0,1,0,874.400019646,12418.9758301,10085.2804184
S7,8,0,1,1,1193.98403168,12206.0804367,10052.6075363
S7,8,0,1,2,782.335996628,11966.4640427,9621.50382996
S7,8,0,1,3,1975.29602051,13500.415802,11272.1920013
S7,8,0,1,4,2301.95188522,13253.6315918,11271.1677551
S7,8,0,1,5,1888.25595379,13000.7038116,10700.799942
S7,8,0,1,6,62020.6069946,73518.081665,71343.1015015
S7,8,0,1,7,2121.72794342,13490.1762009,11118.5922623
S7,8,0,1,8,2103.29604149,13757.4396133,11409.4076157
S7,8,0,1,9,260346.893311,271708.1604,269378.570557
S7,8,0,1,10,2143.23210716,13252.6082993,11080.7037354
S7,8,0,1,11,2105.34405708,13322.2398758,11185.1520538
S7,8,0,1,12,2026.49593353,12807.1680069,10941.4396286
S7,8,0,1,13,2089.98394012,13305.855751,11133.9521408
S7,8,0,1,14,498655.24292,509403.137207,507726.837158
S7,8,0,1,15,2099.2000103,13393.9199448,11099.1363525
S7,8,0,1,16,1955.83999157,13463.552475,11310.0795746
S7,8,0,1,17,932237.304688,943081.481934,941316.101074
S7,8,0,1,18,2032.63998032,13334.5279694,10983.4241867
S7,8,0,1,19,1846.30405903,13126.6555786,10829.8244476
S7,8,0,1,20,2037.7600193,13293.5676575,10993.6637878
S7,8,0,1,21,1198.07994366,12297.2164154,10027.0080566
S7,8,0,1,22,1572.86405563,12709.8884583,10436.6083145
S7,8,0,1,23,1801.21600628,13182.975769,10978.3039093
S7,8,0,1,24,1698.81594181,12957.695961,10724.3518829
S7,8,0,1,25,2300.92811584,13291.5201187,11341.8235779
S7,8,0,1,26,1654.78396416,12914.6881104,10766.336441
S7,8,0,1,27,1890.30396938,13366.2719727,10998.7840652
S7,8,0,1,28,1556.48005009,13329.3437958,10954.6880722
S7,8,0,1,29,1531.90398216,12626.9435883,10450.9439468
S7,8,0,1,30,1353.72805595,12480.5116653,10566.6561127
S7,8,0,1,31,2691.07198715,13715.4560089,11647.9997635
S7,8,0,1,32,1284.09600258,12624.8960495,10389.5044327
S7,8,0,1,33,919.552028179,12172.287941,9806.84757233
S7,8,0,1,34,1488.89601231,12716.0320282,10348.5441208
S7,8,0,1,35,1174.68798161,12349.439621,9978.87992859
S7,8,0,1,36,4625.40817261,15993.8564301,13619.1997528
S7,8,0,1,37,989.18402195,12686.3355637,10301.440239
S7,8,0,1,38,2072.57604599,13294.5919037,11021.3117599
S7,8,0,1,39,3930.11188507,15307.7764511,13235.1999283
S7,8,0,1,40,933.888018131,12323.8401413,10107.9044342
S7,8,0,1,41,1702.911973,13010.9443665,10634.2401505
S7,8,0,1,42,1430.33599854,12695.3601837,10309.4396591
S7,8,0,1,43,1595.39198875,13040.6398773,10674.1762161
S7,8,0,1,44,1358.84797573,12691.4558411,10342.3995972
S7,8,0,1,45,1602.56004333,13018.1121826,10639.3604279
S7,8,0,1,46,1474.56002235,12731.3919067,10359.8079681
S7,8,0,1,47,1206.27200603,12460.0324631,10101.7599106
S7,8,0,1,48,960.511982441,12498.9442825,10274.8155594
S7,8,0,1,49,1088.51194382,12803.0719757,10475.520134
S7,8,0,2,0,883.711993694,12372.9915619,10013.6957169
S7,8,0,2,1,7191.52021408,18236.3834381,16014.3032074
S7,8,0,2,2,4747.26390839,15988.7361526,13938.6882782
S7,8,0,2,3,6119.42386627,17044.4793701,15207.4241638
S7,8,0,2,4,5501.95217133,16082.94487,14896.1277008
S7,8,0,2,5,5873.66390228,16395.2636719,15152.1282196
S7,8,0,2,6,7465.98386765,18100.2235413,16664.5755768
S7,8,0,2,7,8239.10427094,19227.6477814,17352.7030945
S7,8,0,2,8,5485.56804657,16275.4554749,14728.1923294
S7,8,0,2,9,6022.14384079,16904.1919708,15200.2563477
S7,8,0,2,10,5981.18400574,17049.6006012,15178.7519455
S7,8,0,2,11,6273.98395538,16966.5927887,15367.1035767
S7,8,0,2,12,7122.94387817,17767.4236298,16334.8484039
S7,8,0,2,13,6861.88793182,17507.3280334,16092.1592712
S7,8,0,2,14,5400.57611465,16694.2710876,14426.112175
S7,8,0,2,15,5030.91192245,16240.6406403,13979.6476364
S7,8,0,2,16,5097.47219086,16030.7197571,14253.0555725
S7,8,0,2,17,6505.47218323,17703.9356232,15397.8881836
S7,8,0,2,18,7070.72019577,18032.6404572,16132.0953369
S7,8,0,2,19,4849.66421127,15385.60009,14018.5604095
S7,8,0,2,20,7269.37580109,17915.9030914,16539.648056
S7,8,0,2,21,6858.75177383,17531.9042206,16159.7442627
S7,8,0,2,22,6004.73594666,16547.8401184,15266.8161392
S7,8,0,2,23,4070.40023804,14876.6717911,13047.8076935
S7,8,0,2,24,4273.15187454,15282.1760178,13515.7756805
S7,8,0,2,25,4377.60019302,15310.8482361,13515.7756805
S7,8,0,2,26,4626.43194199,15312.8957748,13877.2478104
S7,8,0,2,27,4956.16006851,16007.1678162,14088.1919861
S7,8,0,2,28,6953.98378372,17584.1274261,16233.4728241
S7,8,0,2,29,7085.02388,17648.607254,16423.9044189
S7,8,0,2,30,5010.43176651,15759.3603134,14303.232193
S7,8,0,2,31,7798.78377914,18663.4235382,16996.3512421
S7,8,0,2,32,8232.95974731,19134.4642639,17373.1842041
S7,8,0,2,33,6682.62386322,17742.8474426,15773.6959457
S7,8,0,2,34,5378.04794312,16863.2316589,14597.120285
S7,8,0,2,35,5229.56800461,16495.6169128,14188.5442734
S7,8,0,2,36,5479.42399979,16181.2477112,14903.2964706
S7,8,0,2,37,4187.13617325,14866.4321899,13361.1516953
S7,8,0,2,38,4315.13595581,14889.9841309,13427.7124405
S7,8,0,2,39,4954.11205292,16115.7112122,13785.0875854
S7,8,0,2,40,5920.76778412,17119.2321777,14828.543663
S7,8,0,2,41,7513.08822632,18939.9032593,16622.592926
S7,8,0,2,42,6452.22377777,17211.391449,15541.2483215
S7,8,0,2,43,4383.74376297,15288.3195877,13562.8795624
S7,8,0,2,44,6749.18413162,18161.6630554,15816.7037964
