run_id,stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,exit_code,case_dir,timestamp_utc
stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep1,A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,1,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep1,2026-09-02T08:51:04Z
stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep2,A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,2,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep2,2026-09-02T08:51:19Z
stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep3,A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,3,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep3,2026-09-02T08:51:33Z
stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep4,A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,4,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep4,2026-09-02T08:51:47Z
stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep5,A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,5,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep5,2026-09-02T08:52:02Z
stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep1,A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,1,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep1,2026-09-02T08:52:17Z
stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2,A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,2,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2,2026-09-02T08:52:32Z
stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3,A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,3,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3,2026-09-02T08:52:46Z
stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep4,A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,4,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep4,2026-09-02T08:53:01Z
stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep5,A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,5,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep5,2026-09-02T08:53:15Z
stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep1,A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,1,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep1,2026-09-02T08:53:31Z
stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep2,A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,2,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep2,2026-09-02T08:53:46Z
stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep3,A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,3,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep3,2026-09-02T08:53:59Z
stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep4,A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,4,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep4,2026-09-02T08:54:14Z
stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep5,A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,5,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep5,2026-09-02T08:54:28Z
stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep1,A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,1,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep1,2026-09-02T08:54:43Z
stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep2,A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,2,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep2,2026-09-02T08:54:58Z
stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep3,A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,3,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep3,2026-09-02T08:55:12Z
stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep4,A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,4,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep4,2026-09-02T08:55:27Z
stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5,A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,5,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5,2026-09-02T08:55:42Z
stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1,A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,1,0,/root/seconde-paper/work-20260902/runpkg-rtx4090-20260902/ag-gemm-bench/results/stage1_20260902T085049Z/stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1,2026-09-02T08:55:57Z
