stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,strategy,status,correctness,M_global,slice_bytes,release_first_mean_us,release_last_mean_us,done_mean_us,gemm_first_mean_us,gemm_last_mean_us,e2e_mean_us,e2e_p50_us,e2e_p95_us,run_id
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,1,B0_FULL_SERIAL,PASS,1,16384,33554432,3693.35936546,3693.35936546,3694.87039566,3696.5087986,3898.15808296,3899.79328632,3794.94404793,4811.77616119,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,1,B1_SLICE_SERIAL,PASS,1,16384,33554432,3838.147192,3838.147192,3839.71005917,3841.30750179,4121.2281847,4122.80515194,3822.59202003,4940.80018997,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,33554432,3734.93694782,3734.93694782,3736.36543274,3738.10625076,4010.28543949,4011.96478844,3733.50405693,4994.0161705,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,2,B0_FULL_SERIAL,PASS,1,16384,33554432,2769.35232639,2769.35232639,2770.93567848,2772.49216557,2978.34431648,2979.77023602,2736.12809181,3708.92810822,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,2,B1_SLICE_SERIAL,PASS,1,16384,33554432,2854.4473505,2854.4473505,2856.06719494,2857.52128124,3126.66944027,3128.26687336,2966.52793884,3779.58393097,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,33554432,2918.33599567,2918.33599567,2920.1324749,2921.72992229,3197.61728287,3199.17375565,2992.12789536,3907.58395195,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,3,B0_FULL_SERIAL,PASS,1,16384,33554432,3112.47489214,3112.47489214,3113.9769721,3115.51295519,3321.87710285,3323.50846767,3338.23990822,3585.02411842,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,3,B1_SLICE_SERIAL,PASS,1,16384,33554432,3116.75007343,3116.75007343,3118.2559967,3126.26368999,3406.24576569,3407.76129723,3419.13604736,3535.87198257,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,33554432,3082.6816082,3082.6816082,3084.28160191,3085.71519852,3377.78046608,3379.31646824,3385.34402847,3578.88007164,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,4,B0_FULL_SERIAL,PASS,1,16384,33554432,3237.37854242,3237.37854242,3239.22815561,3241.05087996,3436.48896694,3438.2323122,3301.37610435,3888.12804222,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,4,B1_SLICE_SERIAL,PASS,1,16384,33554432,3142.58239269,3142.58239269,3144.43264961,3146.2963295,3420.52350998,3422.30526924,3376.1279583,3813.37594986,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,4,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,33554432,3239.92575645,3239.92575645,3241.71392441,3243.55711937,3511.4355278,3513.21729183,3481.60004616,4219.90394592,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,5,B0_FULL_SERIAL,PASS,1,16384,33554432,3508.83967876,3508.83967876,3510.73279858,3516.32384777,3714.48959351,3716.2291193,3511.29603386,5030.91192245,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,5,B1_SLICE_SERIAL,PASS,1,16384,33554432,3319.81759548,3319.81759548,3321.66719437,3323.42847347,3597.75681496,3599.57953453,3442.68798828,4279.29592133,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,1,0,5,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,33554432,3246.80449009,3246.80449009,3248.73921394,3250.4595232,3518.52222443,3520.32448292,3412.99200058,4160.51197052,stage1_A_DEFAULT_S1_m4096k512n512_q1w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,1,B0_FULL_SERIAL,PASS,1,16384,16777216,3250.82687378,3250.82687378,3252.63551712,3254.43775654,3456.94143772,3458.64384174,3154.94394302,4156.41593933,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,1,B1_SLICE_SERIAL,PASS,1,16384,16777216,1766.37440205,3327.86878586,3329.56095219,1768.49407911,3492.94784069,3494.75008488,3250.17595291,4075.42419434,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,1756.67072535,3159.07456875,3160.85567474,1758.99968147,3332.33471394,3334.15744305,3139.58406448,3886.08002663,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,2,B0_FULL_SERIAL,PASS,1,16384,16777216,3236.57920361,3236.57920361,3238.42944145,3240.17024517,3442.29631901,3444.06847477,3320.83201408,4172.80006409,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,2,B1_SLICE_SERIAL,PASS,1,16384,16777216,2169.7766304,3366.95040703,3368.75391483,2171.75935507,3529.46048737,3531.16033554,3502.07996368,4123.64816666,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,2123.85983467,3198.7872076,3200.55233479,2126.17151976,3361.77088261,3363.51169586,3299.32808876,3807.23190308,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,3,B0_FULL_SERIAL,PASS,1,16384,16777216,3552.86400318,3552.86400318,3554.54849243,3556.08449936,3754.87679005,3756.58368111,3507.20000267,4860.92805862,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,3,B1_SLICE_SERIAL,PASS,1,16384,16777216,2293.99999619,3547.46942997,3549.01439667,2295.96608162,3705.42014122,3706.99710369,3695.61600685,4588.54389191,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,2307.7862525,3445.22624969,3446.80000782,2309.79137182,3601.36257172,3602.98047543,3301.37610435,4429.82387543,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,4,B0_FULL_SERIAL,PASS,1,16384,16777216,3652.86975384,3652.86975384,3654.40513134,3655.98209381,3848.40578556,3850.0096035,3760.12802124,5385.21623611,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,4,B1_SLICE_SERIAL,PASS,1,16384,16777216,2078.7590456,3602.16449261,3603.77855301,2080.70143461,3762.12989807,3763.76831055,3747.83992767,4388.86404037,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,4,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,2294.71807957,3666.24448776,3667.87457943,2296.61568403,3825.20194054,3826.79935455,3675.13608932,4005.88798523,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,5,B0_FULL_SERIAL,PASS,1,16384,16777216,2510.50368309,2510.50368309,2512.10688114,2513.66335392,2711.83424473,2713.54623795,2442.23999977,3562.4320507,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,5,B1_SLICE_SERIAL,PASS,1,16384,16777216,1438.00640345,2582.73280144,2584.41856861,1439.86559629,2748.21760654,2749.85601425,2566.14398956,3297.28007317,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,5,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,1468.50752592,2500.53952694,2502.17090607,1470.81535578,2665.68258286,2667.2390604,2467.83995628,3581.95209503,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,1,B0_FULL_SERIAL,PASS,1,16384,8388608,2530.30528069,2530.30528069,2532.01984167,2533.65823507,2740.90241432,2742.51328468,2545.66407204,3506.14404678,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,1,B1_SLICE_SERIAL,PASS,1,16384,8388608,1063.13215375,3051.13728523,3052.76479244,1065.24160266,3152.89152145,3154.50941563,3030.01594543,3900.41589737,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,8388608,1251.63391948,3066.22527599,3067.92319775,1253.94815564,3164.73214626,3166.26814842,2963.45591545,3634.17601585,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,2,B0_FULL_SERIAL,PASS,1,16384,8388608,3194.78657246,3194.78657246,3196.61376476,3198.35456848,3399.97952938,3401.70049191,3287.0080471,4862.97607422,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,2,B1_SLICE_SERIAL,PASS,1,16384,8388608,1609.35680151,3662.41983891,3664.21504974,1611.52512193,3762.94913769,3764.75137234,3758.08000565,4381.69622421,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,8388608,1619.96287704,3394.44736481,3396.31489277,1622.35775828,3494.57792759,3496.35968685,3362.81609535,3987.4560833,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,3,B0_FULL_SERIAL,PASS,1,16384,8388608,3164.95233059,3164.95233059,3166.80640697,3168.6496067,3365.59937,3367.36705303,3009.53602791,4049.92008209,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,3,B1_SLICE_SERIAL,PASS,1,16384,8388608,931.443206072,3528.8428688,3530.61757565,933.589764833,3629.00351524,3630.90816975,3343.3599472,4297.72806168,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,8388608,922.477440834,3264.95552063,3266.81022167,925.127038956,3364.88894939,3370.54142475,3073.0240345,4044.79980469,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,4,B0_FULL_SERIAL,PASS,1,16384,8388608,3619.88417149,3619.88417149,3621.73631668,3623.62049103,3833.52962971,3835.3017664,3545.08805275,5074.94401932,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,4,B1_SLICE_SERIAL,PASS,1,16384,8388608,1518.93632174,3972.50046253,3974.44734573,1521.12768173,4076.1714983,4078.01469326,3926.0160923,4752.38418579,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,4,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,8388608,1421.65376544,3619.92193699,3621.75872803,1424.35711265,3722.35649586,3724.13825512,3542.01602936,4465.66390991,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,5,B0_FULL_SERIAL,PASS,1,16384,8388608,3009.50911999,3009.50911999,3010.8390379,3012.17024326,3209.68510151,3211.07199669,2978.81603241,3844.09594536,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,5,B1_SLICE_SERIAL,PASS,1,16384,8388608,974.492157698,3514.53822613,3515.99616051,976.271359921,3613.52192402,3614.89409447,3259.39202309,5039.10398483,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,5,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,8388608,958.725122213,3259.08223629,3260.55873394,960.57279706,3360.25538921,3361.79138184,3053.56788635,4058.11214447,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,1,B0_FULL_SERIAL,PASS,1,16384,4194304,2751.27358913,2751.27358913,2753.11998367,2754.9836731,2950.30848503,2952.14466095,2817.98410416,3697.43990898,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,1,B1_SLICE_SERIAL,PASS,1,16384,4194304,609.745924473,3180.15296459,3181.90656662,612.161280513,3216.57920837,3218.36096764,3051.45597458,3776.51190758,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,4194304,692.321282029,3146.87360287,3148.62015247,695.13664186,3183.06750774,3184.89023685,2942.97599792,3718.14393997,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,2,B0_FULL_SERIAL,PASS,1,16384,4194304,3383.49119663,3383.49119663,3385.03490448,3386.61185741,3579.32990551,3580.96703053,3448.83203506,4362.23983765,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,2,B1_SLICE_SERIAL,PASS,1,16384,4194304,1453.46239328,4203.48413944,4205.15452862,1455.46879709,4239.90911007,4241.52705669,4060.16016006,5088.22393417,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,4194304,1500.91775894,4016.31871223,4017.70177364,1503.04448545,4052.4358511,4054.03327942,3914.75200653,5064.70394135,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,3,B0_FULL_SERIAL,PASS,1,16384,4194304,3204.69183207,3204.69183207,3206.58751249,3208.41023207,3408.21758747,3410.05629539,3148.79989624,4190.20795822,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,3,B1_SLICE_SERIAL,PASS,1,16384,4194304,1156.99071884,3606.85311317,3608.65215302,1159.28127468,3643.28380585,3645.14750004,3485.59999466,4151.29613876,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,4194304,972.821118832,3226.62336349,3228.4032011,975.480318666,3263.13727856,3264.83712196,3109.88807678,3904.51192856,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,4,B0_FULL_SERIAL,PASS,1,16384,4194304,3608.59903336,3608.59903336,3610.47807693,3612.30079651,3814.17282104,3816.03586197,3594.23995018,4886.52801514,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,4,B1_SLICE_SERIAL,PASS,1,16384,4194304,1100.73600113,4022.01088428,4023.7849617,1103.29599857,4058.29376221,4060.15744209,3913.72799873,4749.27997589,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,4,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,4194304,1215.09439826,3840.60351372,3842.45183468,1217.7760005,3876.73535824,3878.55809689,3761.15202904,4646.91209793,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,5,B0_FULL_SERIAL,PASS,1,16384,4194304,2714.28927422,2714.28927422,2715.98079205,2717.45535374,2916.98048115,2918.58943939,2450.43206215,4773.88811111,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,5,B1_SLICE_SERIAL,PASS,1,16384,4194304,1422.17279613,3820.48834801,3822.05952168,1424.21823144,3855.8924675,3857.59231567,3765.24806023,4516.86382294,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,5,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,4194304,1267.67039359,3455.10784626,3456.63103104,1269.71520424,3490.30014038,3491.97951794,3363.84010315,4209.66386795,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,1,B0_FULL_SERIAL,PASS,1,16384,2097152,3276.80256605,3276.80256605,3278.67968321,3280.40001154,3476.89470768,3478.74879837,3434.4959259,3981.31203651,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,1,B1_SLICE_SERIAL,PASS,1,16384,2097152,1287.57759809,4401.39968872,4403.26141834,1289.74847972,4436.52097225,4438.2003355,4375.55217743,5248.00014496,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,2097152,1212.98432052,3869.95774746,3871.77981853,1215.48287988,3904.89599228,3906.61631107,3830.78408241,4407.29618073,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,2,B0_FULL_SERIAL,PASS,1,16384,2097152,3825.19936085,3825.19936085,3826.78654194,3828.34303379,4031.70237541,4033.30685616,3747.83992767,4737.02383041,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,2,B1_SLICE_SERIAL,PASS,1,16384,2097152,1250.9126389,4640.25854588,4641.86623573,1252.95872211,4673.81501198,4675.47390938,4482.04803467,5361.66381836,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep2
